timestamp,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,automatic_gain_control,fix_type,jamming_state,vel_ned_valid,satellites_used
796000,1660043395741590,0,473977419,85455939,488040,488040,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.0,1.500634,0,nan,nan,0,3,0,1,10
1996000,1660043396941590,0,473977419,85455939,488039,488039,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,1.5666075,0,nan,nan,0,3,0,1,10
2996000,1660043397941590,0,473977419,85455939,488040,488040,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,-0.01,3.3496358,0,nan,nan,0,3,0,1,10
3796000,1660043398740590,0,473977419,85455939,488040,488040,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,1.0911798,0,nan,nan,0,3,0,1,10
4996000,1660043399941590,0,473977419,85455939,488039,488039,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,0.0,4.923748,0,nan,nan,0,3,0,1,10
5796000,1660043400740590,0,473977419,85455939,488040,488040,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,1.1686724,0,nan,nan,0,3,0,1,10
6996000,1660043401941590,0,473977419,85455939,488038,488038,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.9605283,0,nan,nan,0,3,0,1,10
7796000,1660043402741590,0,473977419,85455939,488040,488040,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,0.0,5.8540087,0,nan,nan,0,3,0,1,10
8996000,1660043403940590,0,473977419,85455939,488039,488039,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,2.668783,0,nan,nan,0,3,0,1,10
9796000,1660043404741590,0,473977419,85455939,488041,488041,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,5.690297,0,nan,nan,0,3,0,1,10
10996000,1660043405940590,0,473977419,85455939,488039,488039,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,5.503546,0,nan,nan,0,3,0,1,10
11796000,1660043406741590,0,473977419,85455939,488039,488039,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,6.0550704,0,nan,nan,0,3,0,1,10
12996000,1660043407940590,0,473977419,85455939,488041,488041,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.47071528,0,nan,nan,0,3,0,1,10
13796000,1660043408741590,0,473977419,85455939,488040,488040,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,3.9744637,0,nan,nan,0,3,0,1,10
14996000,1660043409940590,0,473977419,85455939,488039,488039,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.0,1.4919074,0,nan,nan,0,3,0,1,10
15796000,1660043410740590,0,473977419,85455939,488039,488039,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4.2298055,0,nan,nan,0,3,0,1,10
16996000,1660043411941590,0,473977419,85455939,488039,488039,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,-0.01,0.25516713,0,nan,nan,0,3,0,1,10
17996000,1660043412941590,0,473977419,85455939,488040,488040,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,0.01,4.0634756,0,nan,nan,0,3,0,1,10
18796000,1660043413740590,0,473977419,85455939,488040,488040,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,5.636017,0,nan,nan,0,3,0,1,10
19996000,1660043414941590,0,473977421,85455967,488134,488134,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.51,0.0,0.51,-0.08,1.5866787,0,nan,nan,0,3,0,1,10
20796000,1660043415740590,0,473977420,85455990,488361,488361,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.099999994,-0.01,-0.089999996,-0.38,4.516563,0,nan,nan,0,3,0,1,10
21996000,1660043416941590,0,473977413,85455928,488991,488991,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.45999998,-0.07,-0.45,-0.59999996,4.5443134,0,nan,nan,0,3,0,1,10
22796000,1660043417740590,0,473977408,85455891,489525,489525,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.22,-0.04,-0.21,-0.7,4.513247,0,nan,nan,0,3,0,1,10
23996000,1660043418941590,0,473977406,85455882,490066,490066,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.08,0.0,0.08,-0.17999999,1.542522,0,nan,nan,0,3,0,1,10
24796000,1660043419740590,0,473977407,85455895,490277,490277,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.14,0.02,0.13,-0.35,1.3908528,0,nan,nan,0,3,0,1,10
25796000,1660043420740590,0,473977411,85455909,490521,490521,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.089999996,0.06,0.06,-0.02,0.73775065,0,nan,nan,0,3,0,1,10
26996000,1660043421941590,0,473977418,85455917,490457,490457,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.07,0.049999997,0.04,0.089999996,0.65222955,0,nan,nan,0,3,0,1,10
27796000,1660043422740590,0,473977422,85455922,490378,490378,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.049999997,0.04,0.04,0.089999996,0.7471754,0,nan,nan,0,3,0,1,10
28996000,1660043423941590,0,473977424,85455916,489729,489729,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.02,0.0,-0.03,0.75,4.580442,0,nan,nan,0,3,0,1,10
29796000,1660043424740590,0,473977424,85455913,489184,489184,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.63,4.17762,0,nan,nan,0,3,0,1,10
30996000,1660043425941590,0,473977424,85455911,488420,488420,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.01,0.0,0.0,0.7,0.13700834,0,nan,nan,0,3,0,1,10
31796000,1660043426742590,0,473977424,85455910,488042,488042,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.01,0.0,-0.01,0.11,5.089904,0,nan,nan,0,3,0,1,10
32996000,1660043427942590,0,473977424,85455910,488040,488040,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.39618972,0,nan,nan,0,3,0,1,10
33796000,1660043428742590,0,473977424,85455910,488039,488039,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,3.4126422,0,nan,nan,0,3,0,1,10
