timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
656000,656000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
992000,992000,0.0,0.0,0.0,-0.017477492,-0.0021908279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033874512,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1496000,1496000,0.0,0.0,0.0,-0.058374617,-0.029213574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06314087,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996000,1996000,0.0,0.0,0.0,-0.09903764,-0.03350945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0035705566,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2496000,2496000,0.0,0.0,0.0,-0.14136542,-0.045754254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07949829,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2996000,2996000,0.0,0.0,0.0,-0.040433813,-0.004008079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04537964,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3496000,3496000,0.0,0.0,0.0,0.04028894,0.020073924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0874939,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3996000,3996000,0.0,0.0,0.0,0.10829688,0.024581254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027008057,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4496000,4496000,0.0,0.0,0.0,0.09716414,0.025211051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04095459,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4996000,4996000,0.0,0.0,0.0,0.07227688,0.018054718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03488159,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5496000,5496000,0.0,0.0,0.0,0.04380008,0.004525899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023468018,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5996000,5996000,0.0,0.0,0.0,0.033692095,-0.0035167478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028961182,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6496000,6496000,0.0,0.0,0.0,0.014866598,-0.010440805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.101867676,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6996000,6996000,0.0,0.0,0.0,-0.0028872981,0.008302813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044769287,0.0,0.0,nan,0.0,0.0,-0.006539345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7496000,7496000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09680176,0.0,0.0,nan,0.0,0.0,-0.010945439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7996000,7996000,0.043316126,0.003240921,-0.0054047154,0.0011847167,-0.0047840895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014343262,0.0,0.0,nan,0.0,0.0,0.005834222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8496000,8496000,0.16825281,-0.029804718,0.11818738,0.03630044,-0.010444193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043792725,0.0,0.0,nan,0.0,0.0,-0.018724918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8996000,8996000,0.11852122,0.027503327,0.070402324,0.025689073,0.0007349199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0473938,0.0,0.0,nan,0.0,0.0,0.0052924156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9496000,9496000,-0.009909349,0.0029418357,0.07292185,-0.010534995,-0.008230959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13671875,0.0,0.0,nan,0.0,0.0,-0.0020308495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9996000,9996000,0.06395311,0.01113566,0.08336699,0.0072386083,-0.008694549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046539307,0.0,0.0,nan,0.0,0.0,-0.0025128126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10496000,10496000,0.010914445,0.08630262,-0.012265601,0.001212735,0.008178543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14093018,0.0,0.0,nan,0.0,0.0,-0.008350253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10996000,10996000,-0.11503382,-0.0017975611,0.02573247,-0.024857113,-0.01032998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.090423584,0.0,0.0,nan,0.0,0.0,0.014018059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11496000,11496000,-0.06738843,0.01188138,0.052154914,-0.0062814616,-0.00083629764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014312744,0.0,0.0,nan,0.0,0.0,-0.0069117546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11996000,11996000,-0.04597302,-0.007369192,0.038634457,-0.0011430114,-0.0025158098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04446411,0.0,0.0,nan,0.0,0.0,0.022749066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12496000,12496000,0.04645545,0.008893954,0.023471624,0.0071218596,0.0004987608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.048217773,0.0,0.0,nan,0.0,0.0,0.009352684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12996000,12996000,-0.0293649,0.035224464,0.002367816,-0.012529481,0.006653028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065307617,0.0,0.0,nan,0.0,0.0,0.019264579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13496000,13496000,0.019796517,0.07774005,-0.054043956,-0.0048126657,0.016288977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009887695,0.0,0.0,nan,0.0,0.0,0.027646065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13996000,13996000,-0.011252422,0.020834116,-0.025702246,-0.011737756,0.0017836727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014984131,0.0,0.0,nan,0.0,0.0,0.015537024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
