timestamp,flag_armed,flag_external_manual_override_ok,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
28000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
532000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1036000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1252000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1516000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2020000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2524000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
3028000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
3532000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
4036000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
4540000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
5044000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
5548000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
6052000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
6556000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
7060000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
7564000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
8008000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
8020000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
8524000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
9028000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
9532000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
9628000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
10132000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
10636000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
11140000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
11644000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
12148000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
12652000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
13156000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
13660000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
14164000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
14656000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
15160000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
15664000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
16168000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
16672000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
17176000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
17680000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
18184000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
18688000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
19192000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
19696000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
20200000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
20704000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
21208000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
21712000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
22216000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
22720000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
23224000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
23728000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
24232000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
24736000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
25240000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
25744000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
26248000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
26752000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
27256000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
27760000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
28264000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
28768000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
29272000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
29776000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
30280000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
30784000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
31288000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
31792000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
32296000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
32800000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
33304000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
33808000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
34312000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
34816000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
35320000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
35824000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
36328000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
36832000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
37336000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
37840000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
38344000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
38848000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
39352000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
39856000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
40360000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
40864000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
41368000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
41872000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
42376000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
42880000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
43384000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
43888000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
44392000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
44896000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
45400000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
45904000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
46408000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
46912000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
47416000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
47920000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
48424000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
48928000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
49432000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
49936000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
50440000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
50944000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
51448000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
51952000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
52456000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
52960000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
53464000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
53968000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
54472000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
54976000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
55480000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
55984000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
56488000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
56992000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
57496000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
58000000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
58504000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
59008000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
59512000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
60016000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
60520000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
61024000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
61528000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
62032000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
62536000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
63040000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
63544000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
64048000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
64552000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
65056000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
