timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
7200000,7200000,0.6925355,-0.008368114,-0.00045797846,0.7213352,0.6914836,-9.659409e-10,1.2466544e-09,0.72239226,1
7204000,7204000,0.6925328,-0.008349146,-0.00046274142,0.72133803,0.6914836,-9.659409e-10,1.2466544e-09,0.72239226,1
7696000,7696000,0.70715284,-0.009063041,-0.00045210062,0.7070025,0.9997515,5.2765303e-10,3.5049996e-10,-0.022293378,2
8196000,8196000,0.70699185,-0.008916136,-0.0006795188,0.7071652,0.9997515,5.2765303e-10,3.5049996e-10,-0.022293378,2
8700000,8700000,0.70633876,-0.0055099856,0.0010710617,0.70785177,0.9997515,5.2765303e-10,3.5049996e-10,-0.022293378,2
9200000,9200000,0.7058833,-0.003479617,0.0021224148,0.70831645,0.9997515,5.2765303e-10,3.5049996e-10,-0.022293378,2
9700000,9700000,0.7053179,-0.0023908024,0.0022578205,0.7088835,0.9997515,5.2765303e-10,3.5049996e-10,-0.022293378,2
10200000,10200000,0.70471865,-0.00095173426,0.0034631838,0.70947784,0.9997515,5.2765303e-10,3.5049996e-10,-0.022293378,2
10700000,10700000,0.70456284,-0.0016640438,0.004754508,0.70962375,0.9997515,5.2765303e-10,3.5049996e-10,-0.022293378,2
11200000,11200000,0.7044034,-0.0028265968,0.0040051104,0.70978296,0.9997515,5.2765303e-10,3.5049996e-10,-0.022293378,2
11700000,11700000,0.704719,-0.0036653688,0.0031889651,0.70947,0.9997515,5.2765303e-10,3.5049996e-10,-0.022293378,2
12200000,12200000,0.70483506,-0.0044400766,0.0028089653,0.7093518,0.9997515,5.2765303e-10,3.5049996e-10,-0.022293378,2
12700000,12700000,0.7049081,-0.0041961204,0.0022394666,0.70928276,0.9997515,5.2765303e-10,3.5049996e-10,-0.022293378,2
13200000,13200000,0.70519316,-0.004760023,0.0019639835,0.70899653,0.9997515,5.2765303e-10,3.5049996e-10,-0.022293378,2
13700000,13700000,0.70552886,-0.0052785426,0.0023567863,0.7086576,0.9997515,5.2765303e-10,3.5049996e-10,-0.022293378,2
14200000,14200000,0.70590293,-0.005630225,0.0025825175,0.7082816,0.9997515,5.2765303e-10,3.5049996e-10,-0.022293378,2
14700000,14700000,0.7063681,-0.0063429717,0.00091102463,0.7078157,0.9997515,5.2765303e-10,3.5049996e-10,-0.022293378,2
15200000,15200000,0.70652556,-0.0068011335,-0.0006228396,0.7076546,0.9997515,5.2765303e-10,3.5049996e-10,-0.022293378,2
15700000,15700000,0.7062019,-0.006583719,-0.0017330495,0.70797783,0.9997515,5.2765303e-10,3.5049996e-10,-0.022293378,2
16200000,16200000,0.7057129,-0.0063684555,-0.0016671879,0.70846736,0.9997515,5.2765303e-10,3.5049996e-10,-0.022293378,2
16700000,16700000,0.7053164,-0.0052000196,-0.001061751,0.70887285,0.9997515,5.2765303e-10,3.5049996e-10,-0.022293378,2
17200000,17200000,0.70499873,-0.004694156,-0.0002610346,0.70919305,0.9997515,5.2765303e-10,3.5049996e-10,-0.022293378,2
17700000,17700000,0.704674,-0.003981812,-0.0002315575,0.70952004,0.9997515,5.2765303e-10,3.5049996e-10,-0.022293378,2
