timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
700000,700000,0.0,0.0,0.0,100.25,100.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.2699978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
988000,988000,0.0,0.0,0.0,1.2220781,1.222079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.316206,0.0,0.0,nan,0.0,0.0,0.25712827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1496000,1496000,0.0,0.0,0.0,0.7631366,0.76314294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.222226,0.0,0.0,nan,0.0,0.0,0.25447124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996000,1996000,0.0,0.0,0.0,0.53205293,0.53210276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.947065,0.0,0.0,nan,0.0,0.0,0.25440514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2496000,2496000,0.0,0.0,0.0,0.5196829,0.5198976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.867967,0.0,0.0,nan,0.0,0.0,0.25418517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2996000,2996000,0.0,0.0,0.0,0.5603651,0.56058896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.88323,0.0,0.0,nan,0.0,0.0,0.25373822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3496000,3496000,0.0,0.0,0.0,0.5481008,0.54802054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.933515,0.0,0.0,nan,0.0,0.0,0.2532694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3996000,3996000,0.0,0.0,0.0,0.5226498,0.52243805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.992626,0.0,0.0,nan,0.0,0.0,0.2528681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4496000,4496000,0.0,0.0,0.0,0.4916262,0.49157342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.025325,0.0,0.0,nan,0.0,0.0,0.2525388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4996000,4996000,0.0,0.0,0.0,0.47610772,0.47619593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.043497,0.0,0.0,nan,0.0,0.0,0.25227317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
