timestamp,timestamp_sample,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],n_states
988000,988000,0.6909387,0.02739726,0.021148914,0.72208434,-0.15659262,0.025152765,0.020524805,-0.012057913,0.0029607618,-0.017407682,1.088991e-08,-1.8348958e-09,7.293628e-11,0.0,0.0,3.1778153e-08,0.23968819,0.012092967,0.415894,0.0,0.0,0.0,0.0,0.0,0.0009068414,0.0021557326,0.0021567075,0.00082925643,10.259412,10.259565,0.20560107,0.3708588,0.37085938,2.4538777,9.999995e-07,9.999494e-07,9.893319e-07,4.0000004e-06,4.0000004e-06,3.999998e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
1996000,1996000,0.6911696,0.021991443,0.017704433,0.72214097,-0.45829687,0.04503194,0.11250162,-0.089768216,0.012084348,0.049965,4.8157384e-05,-9.1927905e-06,3.080202e-07,0.0,0.0,7.414383e-07,0.23968819,0.012092967,0.415894,0.0,0.0,0.0,0.0,0.0,0.0005710818,0.0049615297,0.0049631945,0.00052119617,0.7725176,0.7732291,0.26115063,0.16080293,0.1608254,0.6768971,9.646861e-07,9.630753e-07,5.7580786e-07,4.0000004e-06,4.0000004e-06,3.989524e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
2996000,2996000,0.69186914,-0.015107117,-0.0074575595,0.72182643,0.061271667,0.050578676,0.042243958,-0.026896052,0.013977902,0.0642744,0.00033394826,-7.463453e-05,1.4540938e-06,0.0,0.0,1.2909491e-05,0.23968819,0.012092967,0.415894,0.0,0.0,0.0,0.0,0.0,0.00047941584,0.003739694,0.0037395328,0.00044035964,0.8386801,0.8386511,0.31690717,0.14386047,0.14390515,0.630193,5.085814e-07,5.07703e-07,1.9548864e-07,4.0000004e-06,4.0000004e-06,3.8139679e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
3996000,3996000,0.69178075,-0.024581559,-0.0071814773,0.7216534,0.38051876,-0.0672137,0.040063597,0.11128679,-0.0057513425,0.047503874,0.0002616692,-9.581194e-05,2.2788522e-06,0.0,0.0,5.4104825e-05,0.23968819,0.012092967,0.415894,0.0,0.0,0.0,0.0,0.0,0.00037092148,0.00238453,0.0023849183,0.00033973344,0.7961129,0.79512674,0.32331088,0.22896795,0.22881052,0.73031795,2.3992538e-07,2.4023404e-07,7.6158244e-08,4.0000004e-06,4.0000004e-06,3.2439493e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
4996000,4996000,0.69219285,-0.017331848,0.0006661851,0.7215042,0.17065519,-0.11595877,0.036181442,0.07608313,-0.031563286,0.022111116,0.00011598179,-6.5240994e-05,3.2489418e-06,0.0,0.0,6.975641e-05,0.23968819,0.012092967,0.415894,0.0,0.0,0.0,0.0,0.0,0.00029403556,0.0012206392,0.0012231797,0.00027003296,0.49205863,0.49293303,0.28140146,0.16881636,0.16889337,0.7679589,9.093698e-08,9.1370886e-08,3.600905e-08,4.0000004e-06,4.0000004e-06,2.4649128e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
5996000,5996000,0.69251806,-0.010961701,0.0018021923,0.7213151,0.104124375,-0.105293564,0.061033774,0.045313228,-0.03552966,0.038638446,5.3142667e-05,-2.5070847e-05,2.5034806e-06,0.0,0.0,7.618768e-05,0.23968819,0.012092967,0.415894,0.0,0.0,0.0,0.0,0.0,0.00024098955,0.0005908653,0.000592105,0.0002224493,0.31186965,0.3126013,0.23356278,0.13121381,0.1313178,0.74717516,3.130038e-08,3.142247e-08,1.9608217e-08,4.0000004e-06,4.0000004e-06,1.7681516e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
6996000,6996000,0.69260496,-0.007995074,-4.3635668e-05,0.7212728,0.03551659,-0.0103084855,0.014066613,0.0144251855,-0.014771078,0.03544756,3.748936e-05,-2.4803035e-06,2.0619764e-06,0.0,0.0,0.00011295634,0.23968819,0.012092967,0.415894,0.0,0.0,0.0,0.0,0.0,0.00020392827,0.00027980958,0.00028014358,0.00018829589,0.1964993,0.19673511,0.19286197,0.10437734,0.10442053,0.70680636,1.08442375e-08,1.087178e-08,1.1792518e-08,4.0000004e-06,4.0000004e-06,1.2381471e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
7996000,7996000,0.70727587,-0.00841993,-0.00016738012,0.7068875,0.08996652,-0.04798964,0.079464294,0.014494541,-0.0020573472,0.019867256,3.2964956e-05,-9.869839e-07,1.8889828e-06,0.0,0.0,0.0001414255,0.21098603,0.010644859,0.43139544,0.0,0.0,0.0,0.0,0.0,0.00026067515,0.00022854457,0.00022884201,0.00025955,0.045050375,0.04511455,0.04116405,0.3394974,0.33949998,0.4661658,7.2921633e-09,7.3073188e-09,1.0763665e-08,4.0000004e-06,4.0000004e-06,9.1297426e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
8996000,8996000,0.7060229,-0.004290393,0.0023859837,0.708172,0.064238265,-0.050922766,0.091258466,0.048769113,-0.012883128,0.04237198,2.559244e-05,7.9499995e-07,1.775953e-07,0.0,0.0,0.00019249337,0.21098603,0.010644859,0.43139544,0.0,0.0,0.0,0.0,0.0,0.00013825105,0.00014525966,0.0001453852,0.00013754949,0.075961225,0.07601628,0.037876826,0.23268981,0.23271213,0.3415104,7.124997e-09,7.139966e-09,1.0449594e-08,4.0000004e-06,4.0000004e-06,7.652925e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
9996000,9996000,0.7049071,-0.0010435022,0.0035772256,0.7092899,0.069544524,0.028437158,0.038606763,-0.0016186933,0.0035781267,0.03189324,1.2271862e-05,3.923245e-06,-3.0666615e-06,0.0,0.0,0.00029687776,0.21098603,0.010644859,0.43139544,0.0,0.0,0.0,0.0,0.0,0.00011057721,7.837878e-05,7.843984e-05,0.00010986042,0.0483711,0.04838822,0.03452103,0.15885253,0.15885597,0.29125646,6.293307e-09,6.30692e-09,9.675114e-09,4.0000004e-06,4.0000004e-06,6.03516e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
10996000,10996000,0.7044369,-0.0021033105,0.0043090614,0.7097505,-0.069531925,0.0095100235,0.0034691836,-0.007806991,-0.00012688711,0.0108349165,1.3166688e-05,-7.685043e-07,-4.544948e-06,0.0,0.0,0.00032319626,0.21098603,0.010644859,0.43139544,0.0,0.0,0.0,0.0,0.0,0.00010485323,8.4015446e-05,8.4078616e-05,0.00010397692,0.058014005,0.058046777,0.037795205,0.15849575,0.15849721,0.2781771,5.2551163e-09,5.265383e-09,8.4439264e-09,4.0000004e-06,4.0000004e-06,4.8082984e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
11996000,11996000,0.7048184,-0.004173931,0.0027693587,0.70937014,-0.00713402,0.013953927,0.005340583,0.0011568533,-0.006505529,0.014337497,2.2717137e-05,-4.8351654e-07,-1.5311329e-06,0.0,0.0,0.00034916124,0.21098603,0.010644859,0.43139544,0.0,0.0,0.0,0.0,0.0,0.000105633495,6.5351676e-05,6.538876e-05,0.000104564366,0.04383352,0.04386192,0.03400692,0.1299704,0.1299712,0.2559761,3.3163134e-09,3.3200636e-09,7.000006e-09,4.0000004e-06,4.0000004e-06,3.3848897e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
12996000,12996000,0.7052851,-0.004428536,0.0018377779,0.7089076,0.008423098,0.042728312,-0.020722702,0.001970833,0.00023892263,0.011546297,2.3151622e-05,-1.856864e-07,1.1350274e-06,0.0,0.0,0.00037325683,0.21098603,0.010644859,0.43139544,0.0,0.0,0.0,0.0,0.0,0.00010386978,6.256742e-05,6.259004e-05,0.00010276294,0.054527283,0.05455773,0.034955647,0.14156666,0.1415685,0.25883132,2.2073072e-09,2.2084576e-09,5.5152776e-09,4.0000004e-06,4.0000004e-06,2.5964357e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
13996000,13996000,0.7057017,-0.0052447333,0.0023559425,0.70848584,-0.05327019,-0.010718161,0.018392313,-0.014319304,-0.0052860472,0.0060723615,2.1331172e-05,-4.499814e-06,3.862468e-06,0.0,0.0,0.00035337504,0.21098603,0.010644859,0.43139544,0.0,0.0,0.0,0.0,0.0,0.00010141218,4.0063154e-05,4.00671e-05,0.000100303034,0.039444055,0.039455462,0.030032387,0.12237095,0.12237116,0.24482502,1.1351904e-09,1.1349641e-09,4.2818544e-09,4.0000004e-06,4.0000004e-06,1.8027355e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
14996000,14996000,0.7065755,-0.006736459,0.0005007832,0.7076054,-0.05526437,-0.08399359,0.10348957,-0.018314112,-0.017341433,0.029696548,2.8824463e-05,-9.385977e-07,7.817524e-06,0.0,0.0,0.00038354675,0.21098603,0.010644859,0.43139544,0.0,0.0,0.0,0.0,0.0,9.7411066e-05,3.4883353e-05,3.4895173e-05,9.6484844e-05,0.044838414,0.044840604,0.029516146,0.13640098,0.13640201,0.24975145,7.395232e-10,7.3925094e-10,3.3057304e-09,4.0000004e-06,4.0000004e-06,1.3992027e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
15996000,15996000,0.7058343,-0.006115063,-0.0014026848,0.7083492,0.12700114,-0.02387211,0.08462056,-0.00030455354,0.005644239,0.029095042,2.680033e-05,5.036811e-06,4.439394e-06,0.0,0.0,0.0004565632,0.21098603,0.010644859,0.43139544,0.0,0.0,0.0,0.0,0.0,9.184158e-05,2.2842396e-05,2.2850967e-05,9.1032874e-05,0.033104137,0.033107363,0.025202818,0.1201105,0.120110884,0.23849115,4.0812445e-10,4.0795753e-10,2.5465874e-09,4.0000004e-06,4.0000004e-06,1.00803405e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
16996000,16996000,0.70511323,-0.0050503025,-0.00056689145,0.7090765,0.16539413,-0.06140928,0.14463231,0.023217272,0.0051865014,0.059107993,1.9021878e-05,7.0935744e-06,1.2215273e-06,-4.134817e-05,-0.000125686,0.0005033207,0.21098603,0.010644859,0.43139544,0.0,0.0,0.0,0.0,0.0,8.682078e-05,2.0181464e-05,2.0185716e-05,8.60705e-05,0.048018847,0.048016872,0.02433485,0.13475385,0.13475488,0.24262315,2.8707625e-10,2.870424e-10,1.9905408e-09,3.9290267e-06,3.929029e-06,8.050874e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
17996000,17996000,0.7043768,-0.003914566,-3.587147e-05,0.70981556,0.06668084,0.020082762,0.10014015,-0.008634614,0.0057344018,0.07539524,1.3904447e-05,7.877955e-06,-4.772368e-07,-8.894981e-05,-0.00082636083,0.0005639632,0.21098603,0.010644859,0.43139544,0.0,0.0,0.0,0.0,0.0,8.192957e-05,1.9765333e-05,1.9767705e-05,8.1051825e-05,0.0431497,0.043149404,0.0212315,0.11939222,0.11939278,0.23729095,2.2239037e-10,2.2240791e-10,1.5735214e-09,2.5832271e-06,2.5833517e-06,6.105488e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
18996000,18996000,0.7016461,0.021033391,0.014009549,0.7120774,-0.014867465,0.06701123,-0.03235632,-0.0037256856,0.010804907,0.0810691,1.3438924e-05,7.324725e-06,-3.0302765e-06,0.00010393302,-0.0009986149,0.00058630825,0.21098603,0.010644859,0.43139544,0.0,0.0,0.0,0.0,0.0,7.750176e-05,2.5995587e-05,2.6066948e-05,7.585381e-05,0.044789717,0.04479752,0.02041604,0.13457975,0.13458021,0.24028687,2.1774145e-10,2.1774511e-10,1.2585681e-09,1.9026547e-06,1.9028673e-06,5.0278068e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
19996000,19996000,0.75497097,0.016106155,0.015743852,0.6553713,-0.008345996,0.07018873,0.048033744,-0.11399846,0.18749715,0.077713266,1.3318349e-05,7.088084e-06,-4.1245457e-06,0.00023750249,-0.0010528134,0.0006140597,0.21098603,0.010644859,0.43139544,0.0,0.0,0.0,0.0,0.0,6.134146e-05,3.360967e-05,3.3574765e-05,8.2092054e-05,0.02899029,0.028959144,0.017986478,0.11919567,0.11919542,0.23112302,2.1684851e-10,2.168339e-10,1.0142008e-09,1.4476659e-06,1.4473973e-06,5.000036e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
20996000,20996000,0.7338898,0.01132511,-0.011499914,0.6790768,0.11787933,0.041133724,0.028241202,-0.08402303,0.1960075,0.07729252,1.3032681e-05,7.078873e-06,-4.565493e-06,0.0002942632,-0.0010898333,0.0006320593,0.21098603,0.010644859,0.43139544,0.0,0.0,0.0,0.0,0.0,6.217936e-05,4.2125877e-05,4.2173986e-05,7.325074e-05,0.028368326,0.028354174,0.01753488,0.13311857,0.13311672,0.23306271,2.1626641e-10,2.1626828e-10,8.3158114e-10,1.333603e-06,1.3331392e-06,5.000027e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
21996000,21996000,0.6729062,0.007905567,-0.0067788484,0.7396546,0.025836488,0.31606168,0.107824065,-0.032370415,0.34560126,0.07954927,1.2542103e-05,6.84568e-06,-6.1737783e-06,0.00034793036,-0.0011081973,0.00065637607,0.21098603,0.010644859,0.43139544,0.0,0.0,0.0,0.0,0.0,6.9320784e-05,5.1022926e-05,5.1091934e-05,5.8043828e-05,0.021222202,0.021214997,0.015973976,0.11877374,0.11877261,0.22491704,2.1247093e-10,2.1248557e-10,6.8714107e-10,1.2829421e-06,1.2823848e-06,5.000027e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
22996000,22996000,0.68938863,0.003013801,-0.0035302993,0.7243768,-0.024380816,0.32552913,0.02351173,-0.059348926,0.669556,0.07818943,1.2141776e-05,6.8105055e-06,-6.233537e-06,0.00034745375,-0.0011085396,0.0006733497,0.21098603,0.010644859,0.43139544,0.0,0.0,0.0,0.0,0.0,6.307583e-05,5.976706e-05,5.984519e-05,5.770859e-05,0.023159036,0.023154553,0.015994987,0.13154323,0.13154139,0.22638656,2.0610942e-10,2.0607738e-10,5.7649197e-10,1.27948e-06,1.2792005e-06,5.000018e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
23996000,23996000,0.6958974,-9.536734e-05,7.079993e-05,0.71814126,-0.06927059,0.21039395,-0.03210277,-0.1915135,0.9167173,-0.0080003785,1.0452343e-05,5.9292765e-06,-6.852875e-06,0.00030691037,-0.0010637492,0.0006972895,0.21098603,0.010644859,0.43139544,0.0,0.0,0.0,0.0,0.0,5.889272e-05,6.389765e-05,6.398611e-05,5.5861987e-05,0.020425268,0.020403346,0.015064327,0.118080676,0.118079595,0.21931326,1.8611489e-10,1.8602267e-10,4.8825655e-10,1.2530268e-06,1.2533864e-06,5.000009e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
24996000,24996000,0.70053047,-0.0007773814,0.00036100385,0.713622,-0.099374935,0.08713348,-0.047872122,-0.3502381,1.0387399,-0.11403272,8.652909e-06,5.008057e-06,-6.8701775e-06,0.0002527809,-0.0009824769,0.00071482215,0.21098603,0.010644859,0.43139544,0.0,0.0,0.0,0.0,0.0,5.5363857e-05,6.68237e-05,6.69246e-05,5.383419e-05,0.024108013,0.024071503,0.015421097,0.13063902,0.13063462,0.22099651,1.6741893e-10,1.672933e-10,4.1712223e-10,1.2036915e-06,1.2044518e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
25996000,25996000,0.7036006,-0.0006343794,0.00051617663,0.71059525,-0.13776332,0.0039352207,-0.059281312,-0.5700479,1.0517238,-0.23860627,6.158845e-06,3.8478665e-06,-6.0999428e-06,0.0001766154,-0.00084051106,0.0007361439,0.21098603,0.010644859,0.43139544,0.0,0.0,0.0,0.0,0.0,5.2412724e-05,6.131931e-05,6.1416504e-05,5.1705163e-05,0.02159432,0.021575907,0.01491307,0.117676966,0.117674895,0.2188804,1.3534966e-10,1.3519251e-10,3.5940184e-10,1.085215e-06,1.0862905e-06,5.0000452e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
26996000,26996000,0.7052615,9.396891e-05,-0.0016653144,0.70894533,-0.13281722,-0.058082514,-0.06910808,-0.7565192,1.0041143,-0.37015837,4.9938594e-06,3.263036e-06,-5.254397e-06,0.0001366703,-0.00076483015,0.0007560515,0.21098603,0.010644859,0.43139544,0.0,0.0,0.0,0.0,0.0,4.971845e-05,5.8486614e-05,5.857886e-05,4.937929e-05,0.025096778,0.025084158,0.015432019,0.13061456,0.13061045,0.22119536,1.1513257e-10,1.1497908e-10,3.114036e-10,9.903578e-07,9.914149e-07,5.0000452e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
27996000,27996000,0.7062342,0.00050266663,-0.00031774127,0.7079781,-0.1418936,-0.07094706,-0.071819164,-0.9547773,0.9076506,-0.49930537,3.803398e-06,2.4735518e-06,-5.089419e-06,7.986713e-05,-0.00068103726,0.000775471,0.21098603,0.010644859,0.43139544,0.0,0.0,0.0,0.0,0.0,4.7534184e-05,4.9158665e-05,4.923768e-05,4.7427486e-05,0.02159314,0.02158646,0.014890733,0.11768609,0.117684506,0.21592307,8.8993805e-11,8.887858e-11,2.7277802e-10,8.4972805e-07,8.5049055e-07,5.000036e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
28996000,28996000,0.70696783,0.00025168137,-0.0018988927,0.7072432,-0.12856866,-0.06640152,-0.06977653,-1.1033442,0.81628156,-0.6270511,3.623976e-06,2.0363102e-06,-4.22844e-06,4.722364e-05,-0.0006678944,0.00079104165,0.21098603,0.010644859,0.43139544,0.0,0.0,0.0,0.0,0.0,4.5418434e-05,4.526777e-05,4.5333665e-05,4.538809e-05,0.02420499,0.02419493,0.0154577065,0.13075511,0.13075283,0.21877998,7.560508e-11,7.552683e-11,2.399705e-10,7.665446e-07,7.670307e-07,5.000027e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
29996000,29996000,0.70690167,0.0004913261,-0.00017273008,0.7073117,-0.123936,-0.05810013,-0.065462925,-1.2409627,0.7291019,-0.74386317,3.4826598e-06,1.6206176e-06,-3.4889576e-06,1.4964756e-05,-0.00065716973,0.000807748,0.21098603,0.010644859,0.43139544,0.0,0.0,0.0,0.0,0.0,4.391383e-05,3.7613507e-05,3.7664682e-05,4.3764805e-05,0.020423988,0.020415159,0.01492925,0.11774343,0.117742285,0.2141107,6.005022e-11,6.0014285e-11,2.136707e-10,6.634866e-07,6.636355e-07,5.000018e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
30996000,30996000,0.7070978,0.0007382086,-0.0029192267,0.7071094,-0.12189696,-0.04729161,-0.06307057,-1.3667635,0.65183145,-0.85935056,3.5671987e-06,1.3083193e-06,-3.0078388e-06,-1.0303603e-05,-0.00066402095,0.00082132587,0.21098603,0.010644859,0.43139544,0.0,0.0,0.0,0.0,0.0,4.227948e-05,3.4784833e-05,3.4824407e-05,4.212926e-05,0.022490427,0.022480179,0.015491645,0.13059875,0.1305961,0.21732275,5.268836e-11,5.2669355e-11,1.9079713e-10,6.0861123e-07,6.086198e-07,5.000009e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
31996000,31996000,0.70698494,0.00023616258,-0.0014832468,0.707227,-0.10602533,-0.024899518,-0.07928492,-1.46913,0.5831393,-0.9802843,3.8114326e-06,9.553518e-07,-2.2163097e-06,-3.96602e-05,-0.0006839297,0.0008356202,0.21098603,0.010644859,0.43139544,0.0,0.0,0.0,0.0,0.0,4.068613e-05,2.9581264e-05,2.9608369e-05,4.0416657e-05,0.019067155,0.01905947,0.0149438,0.11764798,0.11764654,0.21291944,4.409181e-11,4.4087074e-11,1.7096267e-10,5.440102e-07,5.438976e-07,5.000009e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
