timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,gyro_coning_vibration,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],temperature_accel,temperature_gyro
940000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.0030899232,0.000162079,5.2305683e-08,-0.2357466,-0.049729373,-9.461992,0.020084986,0.0018529025,0.00079186296,11.827728,11.827728
1940000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.0021170196,4.93322e-05,5.2281597e-09,0.110009044,0.29853898,-9.810086,0.0019640382,-0.0030860598,-0.0019030796,11.827728,11.827728
2940000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.0017202433,3.3897515e-05,1.1770399e-09,0.055682067,0.31432134,-9.863867,0.0017588163,-3.6383637e-05,-0.0015433716,11.827728,11.827728
3940000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.0019539346,3.6835558e-05,9.091933e-10,-0.04205592,0.3059023,-9.6977415,0.0020374942,0.0025063874,-0.00034501852,11.827728,11.827728
4940000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.0018694886,3.607363e-05,8.1818685e-10,0.20494144,0.09201964,-9.783519,0.0017591459,-0.00026937327,0.00074416696,11.827728,11.827728
5940000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.0019677493,3.7278864e-05,9.481954e-10,0.14503583,0.34601897,-9.764877,0.0013138538,-0.0025883305,-0.0014117642,11.827728,11.827728
6940000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.0019612832,3.4038043e-05,7.9061363e-10,0.09239886,0.0036272635,-9.782075,-0.0007848524,-0.0015035055,0.0017924103,11.827728,11.827728
7940000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.0023862,4.1105857e-05,1.2741598e-09,0.29524997,-0.35071042,-9.85041,-0.0011991978,-0.0014487656,-0.00038170084,11.827728,11.827728
8940000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.002131886,4.140581e-05,1.1526247e-09,-0.095083594,0.50763756,-9.659981,0.0022260994,0.0019394768,-0.0006756743,11.827728,11.827728
9940000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.0020155248,3.3147957e-05,7.990655e-10,0.2252724,-0.11637855,-9.835359,0.0007368762,-0.0013086143,0.001000408,11.827728,11.827728
10940000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.0018716981,3.4822144e-05,8.724823e-10,0.120114334,0.030148525,-9.802711,0.0016162371,-0.0018492498,0.0006264677,11.827728,11.827728
11940000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.0021201677,3.7563314e-05,8.641544e-10,-0.05745282,0.1297193,-9.622955,-0.00062753295,0.003443942,7.737285e-05,11.827728,11.827728
12940000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.001913586,2.956531e-05,6.7937056e-10,0.14724305,0.07821936,-9.914896,0.00019384104,-0.002715761,-0.00071776804,11.827728,11.827728
13940000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.0020453588,3.9151353e-05,1.1594048e-09,-0.18673685,0.38326833,-9.411261,0.0033830863,0.0065920833,0.0022952636,11.827728,11.827728
14940000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.0020263642,3.973456e-05,1.0624773e-09,-0.152037,-0.03261415,-9.623208,0.0012807325,0.0028536117,0.00023622073,11.827728,11.827728
15940000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.0017792928,3.5130586e-05,8.6946716e-10,0.067754075,-0.10118626,-9.739519,-0.0014725388,-0.0014040975,8.476966e-06,11.827728,11.827728
16940000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.002337244,4.0695722e-05,9.228705e-10,-0.1746337,-0.088734426,-9.428221,-0.00096831884,0.0042104335,0.00045653302,11.827728,11.827728
17940000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.0015283229,3.493011e-05,1.0724082e-09,0.011459563,0.006556417,-9.591468,0.0051126108,-0.0008984041,0.00078426197,11.827728,11.827728
18940000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.0013073366,5.5263943e-05,3.3306403e-08,0.07893717,-0.18182822,-10.373712,0.33177775,-0.24101724,-0.039019097,11.827691,11.827691
19940000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.0013844636,8.234401e-05,7.597971e-08,-0.7984325,-0.6973544,-9.883011,-0.1399227,-0.015631175,-0.14767557,11.827728,11.827728
20940000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.00039525316,3.4634788e-05,2.1107446e-08,-0.22847669,-0.1967363,-9.74306,-0.0070004975,-0.10529114,0.22438611,11.827641,11.827641
21940000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.00052896974,3.146621e-05,1.3637797e-08,-0.12760796,-0.03813753,-9.958341,-0.010626487,0.07561324,-0.015622881,11.827667,11.827667
22940000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.00029959655,2.664345e-05,4.643662e-09,-0.106526576,-0.09747793,-9.787257,0.0009428798,0.009002127,-0.026615335,11.827515,11.827515
23940000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.000276129,2.654447e-05,2.0215407e-09,-0.083189756,-0.12027912,-9.744341,-0.004051176,0.0021736133,-0.017922064,11.826963,11.826963
24940000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.00025852874,2.6573625e-05,1.2307045e-09,-0.04479747,-0.12676668,-9.735056,0.00088636484,-0.0042191814,-0.010234164,11.8262,11.8262
25940000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.00026410312,2.5045372e-05,9.651692e-10,0.004233884,-0.115316704,-9.728421,-0.0022294668,0.00029282924,-0.005378512,11.82538,11.82538
26940000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.00029098545,2.5306002e-05,1.6161541e-09,-0.01990741,-0.09057016,-9.679922,-0.0043136165,-0.038019784,-0.0045687337,11.824592,11.824592
27940000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.00027082642,2.7016365e-05,1.1931779e-09,0.020960215,-0.110042855,-9.761213,-0.0016732829,0.0053987782,-0.0033135526,11.823836,11.823836
28940000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.00026651972,2.6889402e-05,1.7729743e-09,-0.009470947,-0.058813788,-9.70501,-0.0024883465,-0.012314508,0.0015089917,11.823081,11.823081
29940000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.00026189492,2.6312946e-05,1.2896694e-09,0.011344241,-0.03899209,-9.730881,-0.002461838,0.004514694,0.00040500436,11.822323,11.822323
30940000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.0002685486,2.7550057e-05,1.5292106e-09,-0.003938778,-0.07299709,-9.677632,0.019837994,0.0073041148,0.0019296585,11.821565,11.821565
31940000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.0002653366,2.6264335e-05,9.838383e-10,0.007007489,-0.04187939,-9.710627,-0.0068617854,-0.0018779605,0.0017078277,11.820824,11.820824
32940000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.00027298694,2.7094282e-05,1.399519e-09,-0.011040586,-0.051551245,-9.754507,0.0019471865,0.0066508926,0.003190269,11.820096,11.820096
