timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
648000,636000,0,nan,nan,-2.7844448e-05,2.6661633e-06,-1.7058057e-06,0.0,0.0,0.0,-0.0051041837,0.0022290887,-0.0010837994,-0.0010671641,-0.01050971,-0.0010678987,0.0,1.2978797,0.84761196,-0.3123824,1.5995194,1.5995597,nan,0.10001892,0.70622146,3.5000029,7.071068,0.45001906,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
648000,648000,0,nan,nan,-1.5313432e-05,0.00011618406,-2.898425e-05,0.0,0.0,0.0,0.0053888382,0.013360592,0.00042161712,0.0004519893,-0.01050971,-0.0010678987,0.0,0.5975197,0.30709493,0.83924913,1.5994263,1.5995597,nan,0.100077294,0.7097526,3.5000114,7.071086,0.45004696,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
744000,744000,0,nan,nan,0.00069641543,0.0012952131,0.004069073,0.0,0.0,0.0,-0.022137078,0.012812975,0.022211287,0.024897074,-0.01050971,-0.0010678987,0.0,-0.75562507,0.3089796,0.62581795,1.5991383,1.5995597,nan,0.11102699,0.95067346,2.4750743,7.072373,0.4506167,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
840000,840000,0,nan,nan,-0.0017068088,0.0050892294,0.0050168,0.0,0.0,0.0,-0.01202673,0.036966812,-0.010027168,-0.0065578246,-0.01050971,-0.0010678987,0.0,-1.0714309,-0.8908398,0.70690817,1.5990323,1.5995597,nan,0.10292448,0.63064736,1.7504961,4.524267,0.4516248,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
936000,936000,0,nan,nan,-0.0023578564,0.0071184123,0.005820974,0.0,0.0,0.0,0.0022262582,0.018413335,0.019765858,0.022781782,-0.01050971,-0.0010678987,0.0,0.60458493,0.054691926,-0.37824085,1.5991287,1.5995597,nan,0.1,0.89849025,1.5666333,4.531011,0.45325682,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1044000,1044000,1008000,47.3977419,8.5455939,-0.0019431005,0.008001482,0.0048689237,0.0,0.0,0.0,0.02045663,0.01471361,0.031286273,0.030769702,-0.01050971,-0.0010678987,0.0,0.48129526,0.08395987,-0.4182449,1.5989377,1.5995597,488.02884,0.1,0.61641467,1.3254565,2.7311764,0.45558548,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
1140000,1140000,1008000,47.3977419,8.5455939,0.000893131,0.0068821115,0.009064953,0.0,0.0,0.0,0.02063182,0.0027077952,0.046308074,0.046439976,-0.01050971,-0.0010678987,0.0,0.25648716,0.12144812,-0.08946663,1.5990542,1.5995597,488.02884,0.1,0.7932598,1.1705388,2.748281,0.45807618,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
1248000,1248000,1008000,47.3977419,8.5455939,0.0029336873,0.005568011,0.014916479,0.0,0.0,0.0,-0.0059793005,0.008527644,0.043927323,0.045236833,-0.01050971,-0.0010678987,0.0,-0.6309805,0.1632126,0.26423943,1.5989562,1.5995597,488.02884,0.1,0.57983935,1.1137801,1.8495646,0.46167356,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
1340000,1340000,1008000,47.3977419,8.5455939,0.002842032,0.0057222857,0.022540167,0.0,0.0,0.0,-0.0062013315,0.036444962,0.032726694,0.037765734,-0.01050971,-0.0010678987,0.0,-0.5580056,0.2964377,0.4098368,1.599141,1.5995597,488.02884,0.10644944,0.717972,1.0202475,1.8921759,0.46550885,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
1440000,1440000,1008000,47.3977419,8.5455939,0.00028804556,0.008519665,0.029326903,0.0,0.0,0.0,-0.03327185,0.059774358,0.02090191,0.029097298,-0.01050971,-0.0010678987,0.0,0.122634426,-0.0284914,0.28646263,1.5989723,1.5995597,488.02884,0.1,0.8860806,0.94962895,1.9499012,0.47034827,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
1540000,1540000,1008000,47.3977419,8.5455939,-0.0029001618,0.011745002,0.032515027,0.0,0.0,0.0,-0.04196802,0.044857413,0.032622207,0.040488977,-0.01050971,-0.0010678987,0.0,-0.22157255,0.40242997,-0.3497042,1.5991297,1.5995597,488.02884,0.1,0.6596787,0.92505896,1.4532793,0.47627538,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
1640000,1640000,1008000,47.3977419,8.5455939,-0.0073369597,0.015385049,0.032850944,0.0,0.0,0.0,-0.024561126,0.046836797,0.041630276,0.04629812,-0.01050971,-0.0010678987,0.0,0.68630314,0.13098906,-0.087856375,1.5993553,1.5995597,488.02884,0.1,0.7860288,0.87652326,1.5435901,0.4818366,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
1740000,1740000,1008000,47.3977419,8.5455939,-0.009782574,0.017588435,0.034309093,0.0,0.0,0.0,-0.040750798,0.055006642,0.042933077,0.044914346,-0.01050971,-0.0010678987,0.0,0.68432444,0.16007425,-0.21474534,1.599267,1.5995597,488.02884,0.1,0.6088596,0.8628112,1.2785543,0.48874378,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
1840000,1840000,1008000,47.3977419,8.5455939,-0.015084975,0.019974785,0.037392594,0.0,0.0,0.0,-0.07373757,0.032884043,0.0710865,0.07122719,-0.01050971,-0.0010678987,0.0,0.38856718,0.100464046,-0.18630275,1.5991559,1.5995597,488.02884,0.1,0.71632695,0.8288032,1.4118079,0.49479604,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
1940000,1940000,1008000,47.3977419,8.5455939,-0.022005187,0.019699674,0.042650577,0.0,0.0,0.0,-0.09656708,0.03982159,0.07092774,0.06930058,-0.01050971,-0.0010678987,0.0,0.45046484,0.10564389,-0.238834,1.5989792,1.5995597,488.02884,0.1,0.5768287,0.8014278,1.2658015,0.5007343,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
2040000,2040000,1008000,47.3977419,8.5455939,-0.03131606,0.019847233,0.047749907,0.0,0.0,0.0,-0.11784338,0.030582312,0.08135192,0.0773339,-0.01050971,-0.0010678987,0.0,0.5932657,0.15814257,-0.1927745,1.5988044,1.5995597,488.02884,0.1,0.6809437,0.79964477,1.4324311,0.50869036,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
2140000,2140000,1008000,47.3977419,8.5455939,-0.038382057,0.018820722,0.05297034,0.0,0.0,0.0,-0.12858878,0.03735561,0.08216799,0.0754294,-0.01050971,-0.0010678987,0.0,-0.6105179,0.06917474,-0.27504474,1.5985802,1.5995597,488.02884,0.1,0.56217414,0.78084534,1.3243648,0.51455,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
2240000,2240000,1008000,47.3977419,8.5455939,-0.046366155,0.019268923,0.056572817,0.0,0.0,0.0,-0.0997173,0.052711256,0.06592439,0.056203622,-0.01050971,-0.0010678987,0.0,0.6116199,0.1552086,0.14730908,1.5986,1.5995597,488.02884,0.1,0.67180014,0.7849255,1.5125543,0.5228109,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
2340000,2340000,1008000,47.3977419,8.5455939,-0.049773905,0.021381209,0.060107958,0.0,0.0,0.0,-0.1068223,0.07546954,0.059942603,0.048180558,-0.01050971,-0.0010678987,0.0,0.39879766,-0.081440665,0.604906,1.5984821,1.5995597,488.02884,0.1,0.5589946,0.77247655,1.3878562,0.5279986,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
2440000,2440000,1008000,47.3977419,8.5455939,-0.051551793,0.025028165,0.061845466,0.0,0.0,0.0,-0.08546531,0.08496518,0.06061042,0.046198305,-0.01050971,-0.0010678987,0.0,0.62128335,0.08296746,0.101569034,1.5985148,1.5995597,488.02884,0.1,0.67632014,0.7626471,1.585203,0.5326678,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
2540000,2540000,1008000,47.3977419,8.5455939,-0.047933824,0.029150078,0.06341632,0.0,0.0,0.0,-0.06584244,0.0825826,0.07964267,0.062341757,-0.01050971,-0.0010678987,0.0,0.030431794,-1.9580956,2.0032253,1.5983082,1.5995597,488.02884,0.1,0.5589157,0.77363,1.4061092,0.5407621,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
2640000,2640000,1008000,47.3977419,8.5455939,-0.040241577,0.032335762,0.06789535,0.0,0.0,0.0,0.005073714,0.091394424,0.06883961,0.05031395,-0.01050971,-0.0010678987,0.0,0.7233418,0.10669581,-0.23187143,1.5983111,1.5995597,488.02884,0.1,0.68030447,0.7676884,1.5951104,0.5443558,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
2740000,2740000,1008000,47.3977419,8.5455939,-0.025946736,0.03643311,0.07115465,0.0,0.0,0.0,0.060553946,0.098646246,0.053405967,0.034432866,-0.01050971,-0.0010678987,0.0,-0.11051274,-0.03624766,-0.45981354,1.5983251,1.5995597,488.02884,0.1,0.555255,0.78209615,1.3731308,0.552191,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
2840000,2840000,1008000,47.3977419,8.5455939,-0.00826796,0.039236415,0.0735802,0.0,0.0,0.0,0.092259265,0.10121318,0.05380843,0.033938125,-0.01050971,-0.0010678987,0.0,-0.17900601,-0.029827219,-0.00543433,1.5982592,1.5995597,488.02884,0.1,0.6754651,0.77843904,1.5545177,0.55443734,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
2940000,2940000,1008000,47.3977419,8.5455939,0.008443911,0.04130355,0.075134166,0.0,0.0,0.0,0.08582839,0.08856927,0.04680059,0.025524328,-0.01050971,-0.0010678987,0.0,-0.067058645,-0.13825068,0.32551393,1.5981,1.5995597,488.02884,0.1,0.54687965,0.77565974,1.3136845,0.5557007,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
3040000,3040000,1008000,47.3977419,8.5455939,0.02412958,0.04112919,0.074694246,0.0,0.0,0.0,0.13611925,0.089102104,0.03065124,0.007842456,-0.01050971,-0.0010678987,0.0,-0.0314289,0.10842627,-0.024458455,1.5981667,1.5995597,488.02884,0.1,0.66226894,0.79348224,1.4792975,0.5628196,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
3140000,3140000,1008000,47.3977419,8.5455939,0.041556466,0.041368924,0.07336079,0.0,0.0,0.0,0.14121518,0.08717636,0.034964215,0.010470217,-0.01050971,-0.0010678987,0.0,-0.14674072,0.066901535,-0.0075866166,1.5981777,1.5995597,488.02884,0.1,0.53501797,0.79148525,1.2416679,0.5625729,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
3240000,3240000,1008000,47.3977419,8.5455939,0.05436791,0.039661806,0.0722582,0.0,0.0,0.0,0.14667241,0.08435409,0.01835641,-0.0071662953,-0.01050971,-0.0010678987,0.0,-0.3614372,-0.053561896,-0.29294476,1.5982351,1.5995597,488.02884,0.1,0.64398724,0.8105411,1.3908737,0.56901413,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
3340000,3340000,1008000,47.3977419,8.5455939,0.06557201,0.03927146,0.07063471,0.0,0.0,0.0,0.16683933,0.083520725,0.023023902,-0.0034016843,-0.01050971,-0.0010678987,0.0,0.7877781,-0.020107029,-0.3048359,1.5981,1.5995597,488.02884,0.1,0.5214957,0.80851746,1.1671537,0.5671103,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
3440000,3440000,1008000,47.3977419,8.5455939,0.07429265,0.03514633,0.06879099,0.0,0.0,0.0,0.2094081,0.060159862,0.020656511,-0.007716685,-0.01050971,-0.0010678987,0.0,-0.46827573,0.81385463,-0.85816437,1.5982162,1.5995597,488.02884,0.1,0.623488,0.82861066,1.303708,0.5730687,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
3540000,3540000,1008000,47.3977419,8.5455939,0.08677433,0.032227222,0.06333143,0.0,0.0,0.0,0.20696789,0.035121016,0.023111435,-0.009219933,-0.01050971,-0.0010678987,0.0,0.095559694,-2.1587555,2.0847986,1.5983249,1.5995597,488.02884,0.1,0.7429649,0.82593566,1.4482514,0.5698413,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
3640000,3640000,1008000,47.3977419,8.5455939,0.09257085,0.024982525,0.061007123,0.0,0.0,0.0,0.23894121,0.02108224,0.02673812,-0.0071549257,-0.01050971,-0.0010678987,0.0,0.66591215,-0.057020642,0.0036693476,1.5982896,1.5995597,488.02884,0.1,0.6029799,0.82263833,1.2258844,0.565411,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
3740000,3740000,1008000,47.3977419,8.5455939,0.10268583,0.01734927,0.058112595,0.0,0.0,0.0,0.22145104,-0.0066268174,0.045681626,0.009100961,-0.01050971,-0.0010678987,0.0,-0.45161265,0.17390925,0.60475886,1.5982478,1.5995597,488.02884,0.1,0.71449566,0.84258825,1.3578448,0.57029086,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
