timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
700000,700000,0.0,0.0,0.0,100.25,100.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.27000064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000000,1000000,0.0,0.0,0.0,1.2220864,1.2220865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.316205,0.0,0.0,nan,0.0,0.0,0.25696415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1496000,1496000,0.0,0.0,0.0,0.7891829,0.78918314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.22358,0.0,0.0,nan,0.0,0.0,0.25446182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996000,1996000,0.0,0.0,0.0,0.5303683,0.5303785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.927523,0.0,0.0,nan,0.0,0.0,0.2544041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2496000,2496000,0.0,0.0,0.0,0.5234916,0.5235276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.862724,0.0,0.0,nan,0.0,0.0,0.25417385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2996000,2996000,0.0,0.0,0.0,0.051437456,0.051427614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.882313,0.0,0.0,nan,0.0,0.0,0.010468151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3496000,3496000,0.0,0.0,0.0,0.03942294,0.03942003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.934504,0.0,0.0,nan,0.0,0.0,0.010242989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3996000,3996000,0.0,0.0,0.0,0.030447673,0.030447878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.99341,0.0,0.0,nan,0.0,0.0,0.010204814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4496000,4496000,0.0,0.0,0.0,0.027176548,0.0271786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.025742,0.0,0.0,nan,0.0,0.0,0.010176125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4996000,4996000,0.0,0.0,0.0,0.025523938,0.025524579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.036427,0.0,0.0,nan,0.0,0.0,0.096999735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
