timestamp,load,ram_usage
1004000,0.1,0.3878492
1504000,0.08,0.38815662
2004000,0.08,0.38826254
2504000,0.08,0.38832313
3004000,0.08,0.38826895
3504000,0.078431375,0.38817632
4004000,0.08,0.38626838
4504000,0.08,0.38638118
5004000,0.08,0.386394
5504000,0.08,0.3864807
6004000,0.08,0.3865275
6504000,0.08,0.3866265
7004000,0.06,0.38651076
7504000,0.08,0.38637182
8004000,0.09803922,0.3865886
8504000,0.08,0.3865758
9004000,0.06666667,0.38665658
9504000,0.08,0.38630483
10004000,0.08,0.38665462
10504000,0.08,0.38668564
11004000,0.08,0.38673687
11504000,0.06666667,0.38664722
12004000,0.1,0.38664722
12504000,0.078431375,0.38665757
13004000,0.06,0.38680238
13504000,0.08,0.38672504
14004000,0.08,0.38689056
14504000,0.08,0.38691965
15004000,0.083333336,0.38705906
15504000,0.078431375,0.3870482
16004000,0.06,0.38707727
16504000,0.1,0.38721916
17004000,0.06,0.38715956
17504000,0.08,0.38716003
18004000,0.1,0.38715857
18504000,0.08,0.3873162
19004000,0.06,0.38736597
19504000,0.08,0.38739994
20004000,0.08,0.38739452
20504000,0.08,0.38746202
21004000,0.078431375,0.3874359
21504000,0.083333336,0.3873901
22004000,0.08,0.3874354
22504000,0.08,0.3874418
23004000,0.078431375,0.3874418
23504000,0.08,0.38740242
24004000,0.08,0.387463
24504000,0.08,0.3875571
25004000,0.05882353,0.3874502
25504000,0.10204082,0.3874571
26004000,0.078431375,0.38751867
26504000,0.06,0.38761276
27004000,0.078431375,0.38772213
27504000,0.08,0.3877699
28004000,0.08,0.38769257
28504000,0.08,0.3877438
29004000,0.08,0.3877118
29504000,0.08,0.38776055
30004000,0.078431375,0.3877241
30504000,0.08,0.38774627
31004000,0.06,0.3878295
31504000,0.08,0.38773838
32004000,0.08,0.38774478
32504000,0.08,0.38782853
33004000,0.08,0.3877443
33504000,0.08,0.38780093
34004000,0.078431375,0.387698
34504000,0.08,0.3877172
35004000,0.08,0.38785562
35504000,0.08,0.38780195
