timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
5588000,0.0,-0.0,1.5702518,0.0,0.7072993,0.0,0.0,0.70691425,0.0,0.0,-0.0,0,0,0,0,0
5592000,0.0,-0.0,1.5702564,0.0,0.7072977,0.0,0.0,0.70691586,0.0,0.0,-0.0,0,0,0,0,0
5640000,0.0,-0.0,1.5701994,0.0,0.7073178,0.0,0.0,0.7068957,0.0,0.0,-0.0,0,0,0,0,0
5684000,0.0,-0.0,1.5700576,0.0,0.7073679,0.0,0.0,0.7068456,0.0,0.0,-0.0,0,0,0,0,0
5740000,0.0,-0.0,1.5699492,0.0,0.7074062,0.0,0.0,0.7068072,0.0,0.0,-0.0,0,0,0,0,0
5788000,0.0,-0.0,1.5699995,0.0,0.70738846,0.0,0.0,0.70682496,0.0,0.0,-0.0,0,0,0,0,0
5840000,0.0,-0.0,1.5698172,0.0,0.7074529,0.0,0.0,0.7067605,0.0,0.0,-0.0,0,0,0,0,0
5884000,0.0,-0.0,1.5696479,0.0,0.7075127,0.0,0.0,0.7067006,0.0,0.0,-0.0,0,0,0,0,0
5940000,0.0,-0.0,1.5696034,0.0,0.7075284,0.0,0.0,0.7066849,0.0,0.0,-0.0,0,0,0,0,0
5984000,0.0,-0.0,1.5694759,0.0,0.7075735,0.0,0.0,0.70663977,0.0,0.0,-0.0,0,0,0,0,0
6040000,0.0,-0.0,1.5694497,0.0,0.7075827,0.0,0.0,0.7066305,0.0,0.0,-0.0,0,0,0,0,0
6088000,0.0,-0.0,1.5695649,0.0,0.707542,0.0,0.0,0.7066713,0.0,0.0,-0.0,0,0,0,0,0
6136000,0.0,-0.0,1.5695177,0.0,0.7075587,0.0,0.0,0.7066546,0.0,0.0,-0.0,0,0,0,0,0
6184000,0.0,-0.0,1.5695945,0.0,0.7075316,0.0,0.0,0.7066817,0.0,0.0,-0.0,0,0,0,0,0
6236000,0.0,-0.0,1.5695726,0.0,0.7075393,0.0,0.0,0.706674,0.0,0.0,-0.0,0,0,0,0,0
6284000,0.0,-0.0,1.5695573,0.0,0.7075447,0.0,0.0,0.70666856,0.0,0.0,-0.0,0,0,0,0,0
6340000,0.0,-0.0,1.5693716,0.0,0.7076103,0.0,0.0,0.7066029,0.0,0.0,-0.0,0,0,0,0,0
6388000,0.0,-0.0,1.5692043,0.0,0.70766944,0.0,0.0,0.7065437,0.0,0.0,-0.0,0,0,0,0,0
6440000,0.0,-0.0,1.5690093,0.0,0.7077383,0.0,0.0,0.70647466,0.0,0.0,-0.0,0,0,0,0,0
6484000,0.0,-0.0,1.5687965,0.0,0.70781344,0.0,0.0,0.7063994,0.0,0.0,-0.0,0,0,0,0,0
6540000,0.0,-0.0,1.5685754,0.0,0.7078916,0.0,0.0,0.7063211,0.0,0.0,-0.0,0,0,0,0,0
6584000,0.0,-0.0,1.568558,0.0,0.7078977,0.0,0.0,0.706315,0.0,0.0,-0.0,0,0,0,0,0
6632000,0.0,0.0,1.5684538,0.0,0.7079345,0.0,0.0,0.70627815,0.0,0.0,-0.001,0,0,0,0,0
6680000,0.0,0.0,1.5685364,0.0,0.70790535,0.0,0.0,0.70630735,0.0,0.0,-0.001,0,0,0,0,0
6732000,0.0,0.0,1.5684761,0.0,0.70792663,0.0,0.0,0.70628595,0.0,0.0,-0.001,0,0,0,0,0
6780000,0.0,0.0,1.5683546,0.0,0.7079695,0.0,0.0,0.70624304,0.0,0.0,-0.001,0,0,0,0,0
6840000,0.0,0.0,1.5683551,0.0,0.70796937,0.0,0.0,0.70624316,0.0,0.0,-0.001,0,0,0,0,0
6880000,0.0,0.0,1.5684273,0.0,0.70794386,0.0,0.0,0.7062687,0.0,0.0,-0.001,0,0,0,0,0
6932000,0.0,0.0,1.5684376,0.0,0.7079402,0.0,0.0,0.7062724,0.0,0.0,-0.001,0,0,0,0,0
6980000,0.0,0.0,1.5683365,0.0,0.7079759,0.0,0.0,0.70623654,0.0,0.0,-0.001,0,0,0,0,0
7032000,0.0,0.0,1.5681169,0.0,0.70805347,0.0,0.0,0.7061589,0.0,0.0,-0.001,0,0,0,0,0
7080000,0.0,0.0,1.5680797,0.0,0.7080666,0.0,0.0,0.70614564,0.0,0.0,-0.001,0,0,0,0,0
7140000,0.0,0.0,1.56791,0.0,0.7081265,0.0,0.0,0.7060856,0.0,0.0,-0.001,0,0,0,0,0
7180000,0.0,0.0,1.5678508,0.0,0.7081474,0.0,0.0,0.7060646,0.0,0.0,-0.001,0,0,0,0,0
7232000,0.0,0.0,1.5678128,0.0,0.7081608,0.0,0.0,0.70605123,0.0,0.0,-0.001,0,0,0,0,0
7280000,0.0,0.0,1.5676148,0.0,0.7082307,0.0,0.0,0.7059811,0.0,0.0,-0.001,0,0,0,0,0
7332000,0.0,0.0,1.5674859,0.0,0.7082762,0.0,0.0,0.7059354,0.0,0.0,-0.001,0,0,0,0,0
7380000,0.0,0.0,1.5674009,0.0,0.7083062,0.0,0.0,0.7059054,0.0,0.0,-0.001,0,0,0,0,0
