timestamp,timestamp_sample,vibe[0],vibe[1],vibe[2],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
728000,724000,6.2382592e-09,3.0735187e-05,0.0013308671,0.0001141294,0.0014337746,9.900505e-06,512,0,0.70622146,3.5000029,0.0,nan,nan,1.1754944e-38,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
740000,736000,6.0596625e-09,3.0293033e-05,0.0013045787,0.00013709288,0.0014510837,1.2106552e-05,512,0,0.7097526,3.5000114,0.0,nan,nan,1.1754944e-38,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
932000,928000,3.832566e-09,2.500634e-05,0.00093826844,0.00026708856,0.0022211955,0.007877571,512,0,0.63064724,1.7505512,0.0,nan,nan,0.0053050807,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1124000,1120000,2.4588918e-09,2.1586582e-05,0.00070024683,8.176038e-05,0.001553869,0.013605626,512,0,1.2165874,1.3252962,0.0,nan,nan,0.0050118263,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1324000,1320000,1.6413333e-09,2.1324917e-05,0.00059761386,2.1601301e-05,0.0025938589,0.014867754,512,0,0.98802567,1.1134713,0.0,nan,nan,0.003189597,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1524000,1520000,1.1185751e-09,2.0708596e-05,0.00054203457,2.4573985e-05,0.002951908,0.0024089743,512,0,0.86960167,0.94990504,0.0,nan,nan,0.0010708242,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1724000,1720000,7.618847e-10,1.9364341e-05,0.00047688183,5.5814126e-05,0.0031670416,0.0049492284,512,0,0.75967705,0.8768408,0.0,nan,nan,0.0011279519,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1924000,1920000,5.795429e-10,1.9043246e-05,0.00046855945,0.00012454118,0.0030486973,0.0036093742,512,0,0.6910545,0.829054,0.0,nan,nan,0.00074062875,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2124000,2120000,4.4520024e-10,1.7990134e-05,0.0004388387,0.0005322602,0.006012313,0.0071990914,67109376,0,0.22417521,0.79978436,0.00037567763,nan,nan,0.00018854975,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2324000,2320000,4.0124823e-10,1.8555414e-05,0.00044413676,0.001374446,0.008693406,0.0059833424,67109376,0,0.22208236,0.7849087,0.00028236175,nan,nan,0.0012552008,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
