timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
1000000,103.84473,133.82053,0,11,7326,1024000,0,3,253
2000000,156.79883,88.28763,0,67,7486,1024000,0,3,253
3000000,209.31934,75.40321,0,118,7867,1024000,0,3,253
4000000,262.26367,69.45542,0,170,8097,1024000,0,3,253
5000000,316.0078,66.16579,0,222,9078,1024000,0,3,253
6000000,371.0703,64.24348,0,278,10703,1024000,0,3,253
7000000,433.6963,64.00477,0,340,8614,1024000,0,3,253
8000000,497.73438,64.00905,0,399,7387,1024000,0,3,253
9000000,559.4121,63.7434,0,455,7136,1024000,0,3,253
10000000,620.8574,63.508327,0,511,7057,1024000,0,3,253
11000000,680.6543,63.163906,0,568,7604,1024000,0,3,253
12000000,738.69434,62.728798,0,630,9879,1024000,0,3,253
13000000,801.09766,62.703323,0,690,7218,1024000,0,3,253
14000000,857.9863,62.281235,0,747,10526,1024000,0,3,253
15000000,920.916,62.325123,0,810,7719,1024000,0,3,253
16000000,978.3037,62.01215,0,865,10600,1024000,0,3,253
17000000,1041.9072,62.10701,0,924,8154,1024000,0,3,253
18000000,1103.6768,62.088028,0,984,6778,1024000,0,3,253
19000000,1163.6797,61.97698,0,1038,7214,1024000,0,3,253
20000000,1224.4492,61.915924,0,1094,7200,1024000,0,3,253
21000000,1284.833,61.842175,0,1152,7069,1024000,0,3,253
22000000,1344.6621,61.749733,0,1214,7344,1024000,0,3,253
23000000,1401.3887,61.529182,0,1276,10260,1024000,0,3,253
24000000,1465.5713,61.640785,0,1327,7237,1024000,0,3,253
25000000,1525.8828,61.58713,0,1389,8010,1024000,0,3,253
26000000,1587.6152,61.59277,0,1453,6944,1024000,0,3,253
27000000,1646.502,61.49171,0,1518,7460,1024000,0,3,253
28000000,1707.0508,61.45776,0,1579,6745,1024000,0,3,253
29000000,1764.0234,61.3019,0,1635,9960,1024000,0,3,253
30000000,1826.6309,61.345745,0,1694,7084,1024000,0,3,253
31000000,1886.9043,61.3109,0,1748,7832,1024000,0,3,253
32000000,1945.7051,61.231907,0,1808,9884,1024000,0,3,253
33000000,2008.1436,61.268723,0,1865,6759,1024000,0,3,253
34000000,2069.1182,61.260014,0,1932,7079,1024000,0,3,253
35000000,2126.4043,61.145744,0,1990,10104,1024000,0,3,253
36000000,2186.4365,61.11462,0,2045,10012,1024000,0,3,253
