timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
696000,696000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
996000,996000,0.0,0.0,0.0,0.00031525933,0.0010419884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06323242,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1496000,1496000,0.0,0.0,0.0,0.00093900686,-0.0013507666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020263672,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996000,1996000,0.0,0.0,0.0,0.0031847411,-0.0064595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03112793,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2496000,2496000,0.0,0.0,0.0,0.0013983226,-0.004503265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029907227,0.0,0.0,nan,0.0,0.0,-0.00015282631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2996000,2996000,0.0,0.0,0.0,0.0001305285,0.0013788983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018188477,0.0,0.0,nan,0.0,0.0,-0.00011718273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3496000,3496000,0.0,0.0,0.0,-0.0013136988,0.0047082053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1088562,0.0,0.0,nan,0.0,0.0,4.2915344e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3996000,3996000,0.0,0.0,0.0,-0.0017181486,0.007774888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021453857,0.0,0.0,nan,0.0,0.0,0.00017368793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4496000,4496000,0.0,0.0,0.0,-0.00014389718,0.0032849612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.101135254,0.0,0.0,nan,0.0,0.0,0.032261014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4996000,4996000,0.0,0.0,0.0,0.00094464875,0.0015211826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039978027,0.0,0.0,nan,0.0,0.0,-0.012824655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5496000,5496000,0.0,0.0,0.0,0.0018535318,-0.0033085372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09005737,0.0,0.0,nan,0.0,0.0,-0.00035452843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5996000,5996000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016174316,0.0,0.0,nan,0.0,0.0,0.0001784563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6496000,6496000,-0.006256094,-0.040955737,0.02618813,0.00112023,-0.010782742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042022705,0.0,0.0,nan,0.0,0.0,0.006504059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6996000,6996000,0.0046036136,-0.054712154,0.017919617,0.0039811824,-0.017936025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07022095,0.0,0.0,nan,0.0,0.0,0.023188233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7496000,7496000,-0.002474302,-0.04901372,0.011776967,0.0022196136,-0.019785454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03640747,0.0,0.0,nan,0.0,0.0,-0.012584686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7996000,7996000,-0.0019328624,-0.05937591,-0.005900888,0.0022695772,-0.021525146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015380859,0.0,0.0,nan,0.0,0.0,-0.00022220612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8496000,8496000,0.0041526025,-0.036347363,0.034903973,0.0022467617,-0.013003231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00793457,0.0,0.0,nan,0.0,0.0,-0.021277905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8996000,8996000,-0.008476766,-0.018539358,0.039047576,0.0012369152,-0.007879427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014373779,0.0,0.0,nan,0.0,0.0,0.00025892258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9496000,9496000,0.0008147827,-0.02178503,0.029036311,0.005247356,-0.0069305487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023040771,0.0,0.0,nan,0.0,0.0,-0.007075548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9996000,9996000,-0.001564518,-0.0051767076,0.029605573,0.0042913114,-0.0006680715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023101807,0.0,0.0,nan,0.0,0.0,-0.0059025288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10496000,10496000,0.007687511,0.001910593,0.036261365,0.005109817,0.0018414245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056640625,0.0,0.0,nan,0.0,0.0,-0.013112068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10996000,10996000,0.0050991313,0.006607536,0.02477101,0.0042109033,0.0033307439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08364868,0.0,0.0,nan,0.0,0.0,0.0074142218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11496000,11496000,0.0012472128,-0.0047566257,0.047083937,0.0034631107,0.0006285109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10543823,0.0,0.0,nan,0.0,0.0,-0.014178872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11996000,11996000,-0.0036785696,-0.024211423,0.059272885,0.0023546363,-0.0010050648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015777588,0.0,0.0,nan,0.0,0.0,0.016907096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12496000,12496000,4.3639826e-05,0.0061416733,0.067558266,0.0027586808,0.0075519755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012939453,0.0,0.0,nan,0.0,0.0,-0.007124901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12996000,12996000,0.001828667,0.0027438349,0.09204911,0.0028906935,0.0063456334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030822754,0.0,0.0,nan,0.0,0.0,0.014018297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13496000,13496000,0.0036873585,-0.01045933,0.07519252,0.0030491147,0.0033052217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039794922,0.0,0.0,nan,0.0,0.0,0.019193292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13996000,13996000,-0.0130147915,-0.0067574084,0.07784951,0.0014150413,0.004723626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025421143,0.0,0.0,nan,0.0,0.0,0.007942438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14496000,14496000,0.0023415226,0.0003374884,0.08400586,0.006644183,0.0036762443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08874512,0.0,0.0,nan,0.0,0.0,-0.0031836033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14996000,14996000,-0.0021254586,0.013759239,0.089467704,0.005223392,0.00790261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021148682,0.0,0.0,nan,0.0,0.0,-0.0076960325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15496000,15496000,-0.00047143377,0.01114405,0.067315176,0.004912173,0.005141231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.012312651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15996000,15996000,-0.0015015517,0.021161806,0.1149049,0.0033935157,0.0038924436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030731201,0.0,0.0,nan,0.0,0.0,-0.009997487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16496000,16496000,-0.00038492715,0.00054256077,0.108753875,0.0027325933,-0.005267337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,-0.00547421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16996000,16996000,-0.00064322737,-0.005456051,0.11208453,0.002528683,-0.0062796194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1340332,0.0,0.0,nan,0.0,0.0,0.023640513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17496000,17496000,-0.005411137,0.017402008,0.10156924,0.0006818904,-0.0012979447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07220459,0.0,0.0,nan,0.0,0.0,0.026152253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
