timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
704000,704000,0,nan,nan,1.0678544e-06,-1.1543385e-06,1.0761457e-06,0.0,0.0,0.0,0.00039843027,-0.00034512745,0.0005167782,0.0005157886,0.00016149087,-0.00027655708,0.0,0.06341118,-0.020760207,0.13183796,1.5783141,1.5782825,nan,0.100000516,0.70622146,3.5000029,7.071068,0.45001808,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
992000,992000,0,nan,nan,0.0002222162,0.0032601191,-0.004060438,0.0,0.0,0.0,0.00079877,0.016444288,0.0029963627,-0.0010874242,0.00016149087,-0.00027655708,0.0,-0.011041444,-0.029652853,-0.11233246,1.5780065,1.5782825,nan,0.1,0.8612335,1.566521,4.5299706,0.4529996,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1496000,1496000,1200000,47.3977419,8.5455939,0.0028360197,0.008999113,0.013907161,0.0,0.0,0.0,0.010553917,0.024551861,0.006330889,0.016849827,0.00016149087,-0.00027655708,0.0,-0.015473376,-0.006177865,-0.015568051,1.5780455,1.5782825,488.04352,0.10350756,0.86890775,0.94916165,1.9444804,0.469717,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
1996000,1996000,1200000,47.3977419,8.5455939,0.004010287,0.009824937,0.015479567,0.0,0.0,0.0,0.008816146,0.023906117,0.008249625,0.012867517,0.00016149087,-0.00027655708,0.0,0.009786853,0.13844934,-0.16681762,1.5780852,1.5782825,488.04352,0.1,0.5581295,0.80038124,1.2428786,0.49968457,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
2496000,2496000,1200000,47.3977419,8.5455939,0.0034547907,0.010630508,0.013337137,0.0,0.0,0.0,0.003190445,0.022789404,0.008353019,0.0058075106,0.00016149087,-0.00027655708,0.0,-0.05768076,0.105045415,0.07358466,1.5776969,1.5782825,488.04352,0.1,0.6526382,0.7794826,1.5498213,0.5349144,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
2996000,2996000,1200000,47.3977419,8.5455939,-0.00028147062,0.0056981095,0.02212603,0.0,0.0,0.0,-0.0038728889,0.0035731476,0.019773709,0.019770803,0.00016149087,-0.00027655708,0.0,0.053901363,-0.3564581,0.005732227,1.5773166,1.5782825,488.04352,0.1,0.5264231,0.79272723,1.2765181,0.5604032,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
3496000,3496000,1200000,47.3977419,8.5455939,-0.0036315112,0.0033348964,0.030369617,0.0,0.0,0.0,-0.007715695,0.018663347,0.026236417,0.024173511,0.00016149087,-0.00027655708,0.0,0.08662963,0.012138262,-0.0430877,1.5773633,1.5782825,488.04352,0.1,0.60068595,0.825358,1.2694695,0.5715033,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
3996000,3996000,1200000,47.3977419,8.5455939,-0.003354221,0.007489852,0.033124354,0.0,0.0,0.0,-0.0038369878,0.018818876,0.033364043,0.023551477,0.00016149087,-0.00027655708,0.0,0.02151731,-0.51016176,-0.024262877,1.5773501,1.5782825,488.04352,0.1,0.6652538,0.8543394,1.2521967,0.56713563,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
4496000,4496000,1200000,47.3977419,8.5455939,-0.0012491973,0.0009909744,0.039599158,0.0,0.0,0.0,-0.0015188721,-0.011430408,0.038901344,0.023599442,0.00016149087,-0.00027655708,0.0,-0.016367774,0.89108306,0.14352699,1.5773933,1.5782825,488.04352,0.1,0.51894027,0.8715814,0.9786549,0.551778,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
4996000,4996000,1200000,47.3977419,8.5455939,-0.00027744594,-0.013193577,0.041373417,0.0,0.0,0.0,-0.0012109037,-0.039778452,0.0295738,0.009272999,0.00016149087,-0.00027655708,0.0,0.016548116,0.013628203,-0.04350307,1.5770657,1.5782825,488.04352,0.1,0.5732304,0.87686616,0.989369,0.5303877,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
