timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
696000,696000,0.0,0.0,0.0,100.25,100.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.27000093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
996000,996000,0.0,0.0,0.0,1.2220861,1.2220861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.315935,0.0,0.0,nan,0.0,0.0,0.25696418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1496000,1496000,0.0,0.0,0.0,0.76326525,0.7632651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.222835,0.0,0.0,nan,0.0,0.0,0.2544618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996000,1996000,0.0,0.0,0.0,0.5319471,0.5319469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.926559,0.0,0.0,nan,0.0,0.0,0.011979674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2496000,2496000,0.0,0.0,0.0,0.05315019,0.053150184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.861543,0.0,0.0,nan,0.0,0.0,0.010352814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2996000,2996000,0.0,0.0,0.0,0.03641819,0.03641863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.881593,0.0,0.0,nan,0.0,0.0,0.010283115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3496000,3496000,0.0,0.0,0.0,0.031288162,0.031288326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.934167,0.0,0.0,nan,0.0,0.0,0.010224366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3996000,3996000,0.0,0.0,0.0,0.029361468,0.029361494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.993284,0.0,0.0,nan,0.0,0.0,0.010180748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4496000,4496000,0.0,0.0,0.0,0.026103258,0.026103195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.025769,0.0,0.0,nan,0.0,0.0,0.09912396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4996000,4996000,0.0,0.0,0.0,0.021691475,0.021691434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.036538,0.0,0.0,nan,0.0,0.0,0.09274682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5496000,5496000,0.0,0.0,0.0,0.02109572,0.021095723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.038839,0.0,0.0,nan,0.0,0.0,0.09166551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
