timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
972000,972000,1310988,-0.04070143,-0.33039984,-9.126697,11.827728,0,0,0,0,1
1972000,1972000,1310988,0.06703765,-0.0023942017,-9.82341,11.827728,0,0,0,0,1
2972000,2972000,1310988,0.107739076,-0.15562311,-9.617508,11.827728,0,0,0,0,1
3972000,3972000,1310988,0.12210429,-0.007182605,-9.229648,11.827728,0,0,0,0,1
4972000,4972000,1310988,0.11252748,-0.035913024,-9.691729,11.827728,0,0,0,0,1
5972000,5972000,1310988,0.095768064,-0.2753332,-9.797073,11.827728,0,0,0,0,1
6972000,6972000,1310988,0.18914193,0.10055647,-9.665392,11.827728,0,0,0,0,1
7972000,7972000,1310988,0.031124622,-0.02873042,-9.694122,11.827728,0,0,0,0,1
8972000,8972000,1310988,0.1412579,-0.15562311,-9.842564,11.827728,0,0,0,0,1
9972000,9972000,1310988,0.11252748,0.047884032,-9.768343,11.827728,0,0,0,0,1
10972000,10972000,1310988,0.04070143,-0.08140286,-9.689334,11.827728,0,0,0,0,1
11972000,11972000,1310988,0.06464344,0.050278235,-9.931149,11.827728,0,0,0,0,1
12972000,12972000,1310988,0.1412579,-0.021547815,-9.828198,11.827728,0,0,0,0,1
13972000,13972000,1310988,0.1412579,0.035913024,-9.624691,11.827728,0,0,0,0,1
14972000,14972000,1310988,0.12449849,-0.110133275,-9.648633,11.827728,0,0,0,0,1
15972000,15972000,1310988,0.09816227,-0.06943185,-9.682152,11.827728,0,0,0,0,1
16972000,16972000,1310988,0.10534488,-0.08619126,-9.65821,11.827728,0,0,0,0,1
17972000,17972000,1310988,0.12689269,0.007182605,-9.720459,11.827728,0,0,0,0,1
18972000,18972000,1310988,-0.34476504,0.09816227,-10.010158,11.827606,0,0,0,0,1
19972000,19972000,1310988,-0.1364695,-0.011971008,-10.175357,11.826904,0,0,0,0,1
20972000,20972000,1310988,-0.062249243,-0.033518825,-9.76116,11.824463,0,0,0,0,1
21972000,21972000,1310988,0.08140286,-0.093373865,-9.911995,11.821014,0,0,0,0,1
22972000,22972000,1310988,0.1364695,-0.090979666,-9.399636,11.816895,0,0,0,0,1
23972000,23972000,1310988,0.01436521,-0.047884032,-9.643845,11.814209,0,0,0,0,1
24972000,24972000,1310988,-0.038307227,0.0047884034,-9.409213,11.812042,0,0,0,0,1
25972000,25972000,1310988,-0.06943185,-0.035913024,-9.390059,11.810913,0,0,0,0,1
26972000,26972000,1310988,-0.1436521,0.035913024,-9.301474,11.811401,0,0,0,0,1
27972000,27972000,1310988,-0.22026655,-0.011971008,-9.828198,11.815582,0,0,0,0,1
28972000,28972000,1310988,-0.20350714,-0.0047884034,-9.952697,11.818359,0,0,0,0,1
29972000,29972000,1310988,-0.05746084,0.031124622,-10.0987425,11.819458,0,0,0,0,1
30972000,30972000,1310988,-0.095768064,0.059855044,-10.019734,11.81839,0,0,0,0,1
31972000,31972000,1310988,-0.01436521,-0.062249243,-9.500193,11.815796,0,0,0,0,1
32972000,32972000,1310988,-0.0023942017,-0.08619126,-9.445126,11.814056,0,0,0,0,1
33972000,33972000,1310988,-0.07182605,0.038307227,-9.662998,11.813812,0,0,0,0,1
34972000,34972000,1310988,0.05746084,0.33518824,-9.239224,11.814056,0,0,0,0,1
35972000,35972000,1310988,-0.023942016,0.29209262,-9.940725,11.815613,0,0,0,0,1
36972000,36972000,1310988,-0.06464344,0.30166942,-10.275913,11.816223,0,0,0,0,1
37972000,37972000,1310988,0.0023942017,-0.06943185,-10.060435,11.815369,0,0,0,0,1
38972000,38972000,1310988,-0.055066638,-0.11252748,-9.502586,11.814117,0,0,0,0,1
39972000,39972000,1310988,0.033518825,-0.06703765,-9.68694,11.813995,0,0,0,0,1
40972000,40972000,1310988,0.033518825,-0.01436521,-9.713276,11.814209,0,0,0,0,1
41972000,41972000,1310988,-0.06464344,0.02633622,-9.682152,11.814545,0,0,0,0,1
42972000,42972000,1310988,0.15322891,-0.04070143,-11.6430025,11.8151245,0,0,0,0,1
43972000,43972000,1310988,0.25857377,-0.088585466,-9.248801,11.815521,0,0,0,0,1
44972000,44972000,1310988,0.055066638,-0.076614454,-9.275137,11.816071,0,0,0,0,1
45972000,45972000,1310988,-0.02633622,-0.009576807,-9.330204,11.81543,0,0,0,0,1
46972000,46972000,1310988,-0.11252748,-0.047884032,-9.636662,11.814789,0,0,0,0,1
47972000,47972000,1310988,-0.007182605,0.009576807,-9.775525,11.814636,0,0,0,0,1
48972000,48972000,1310988,-0.047884032,-0.038307227,-9.763555,11.814606,0,0,0,0,1
49972000,49972000,1310988,-0.023942016,-0.04070143,-9.706094,11.814575,0,0,0,0,1
50972000,50972000,1310988,-0.06464344,-0.31364042,-9.220071,11.814697,0,0,0,0,1
51972000,51972000,1310988,0.011971008,-0.39743748,-9.911995,11.816193,0,0,0,0,1
52972000,52972000,1310988,0.05746084,-0.23223756,-9.986216,11.816925,0,0,0,0,1
53972000,53972000,1310988,-0.033518825,-0.08140286,-9.957485,11.816162,0,0,0,0,1
54972000,54972000,1310988,0.031124622,0.076614454,-9.49301,11.814514,0,0,0,0,1
55972000,55972000,1310988,-0.074220255,-0.06943185,-9.667787,11.813934,0,0,0,0,1
56972000,56972000,1310988,-0.01436521,-0.01436521,-9.725247,11.813812,0,0,0,0,1
57972000,57972000,1310988,-0.02633622,-0.02633622,-9.679757,11.813721,0,0,0,0,1
