timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check
504000,inf,0,1,1,1,0,0,1,1,0,1
1512000,inf,0,1,1,1,0,0,1,0,0,1
2512000,inf,0,1,1,1,0,0,1,0,0,1
3512000,inf,0,1,1,1,0,0,1,0,0,1
4512000,inf,0,1,1,1,0,0,1,0,0,1
5512000,inf,0,1,1,1,0,0,1,0,0,1
6512000,inf,0,1,1,1,0,0,1,0,0,1
6632000,inf,0,1,1,1,1,1,1,0,0,1
7632000,inf,0,1,1,1,1,1,1,0,0,1
8632000,inf,0,1,1,1,1,1,1,0,0,1
9632000,inf,0,1,1,1,1,1,1,0,0,1
9640000,inf,0,1,1,1,0,0,1,0,0,1
10640000,inf,0,1,1,1,0,0,1,0,0,1
11640000,inf,0,1,1,1,0,0,1,0,0,1
12640000,inf,0,1,1,1,0,0,1,0,0,1
13640000,inf,0,1,1,1,0,0,1,0,0,1
14640000,inf,0,1,1,1,0,0,1,0,0,1
15640000,inf,0,1,1,1,0,0,1,0,0,1
15672000,inf,0,1,1,1,1,0,1,0,0,1
16372000,inf,0,1,0,0,1,0,1,0,0,1
16380000,inf,0,0,0,0,1,0,1,0,0,1
17380000,inf,0,0,0,0,1,0,0,0,0,1
18380000,inf,0,0,0,0,1,0,0,0,0,1
19380000,inf,0,0,0,0,1,0,0,0,0,1
20380000,inf,0,0,0,0,1,0,0,0,0,1
21372000,inf,0,0,0,0,0,0,0,1,0,1
22372000,inf,0,0,0,0,0,0,0,1,0,1
23372000,inf,0,0,0,0,0,0,0,1,0,1
24372000,inf,0,0,0,0,0,0,0,0,0,1
25372000,inf,0,0,0,0,0,0,0,0,0,1
26372000,inf,0,0,0,0,0,0,0,0,0,1
27372000,inf,0,0,0,0,0,0,0,1,0,1
28372000,inf,0,0,0,0,0,0,0,1,0,1
29372000,inf,0,0,0,0,0,0,0,0,0,1
30372000,inf,0,0,0,0,0,0,0,0,0,1
31372000,inf,0,0,0,0,0,0,0,1,0,1
32372000,inf,0,0,0,0,0,0,0,0,0,1
33372000,inf,0,0,0,0,0,0,0,0,0,1
34372000,inf,0,0,0,0,0,0,0,0,0,1
35372000,inf,0,0,0,0,0,0,0,0,0,1
36372000,inf,0,0,0,0,0,0,0,0,0,1
37372000,inf,0,0,0,0,0,0,0,0,0,1
38372000,inf,0,0,0,0,0,0,0,0,0,1
39372000,inf,0,0,0,0,0,0,0,0,0,1
40372000,inf,0,0,0,0,0,0,0,0,0,1
41372000,inf,0,0,0,0,0,0,0,0,0,1
42372000,inf,0,0,0,0,0,0,0,0,0,1
43372000,inf,0,0,0,0,0,0,0,0,0,1
44372000,inf,0,0,0,0,0,0,0,0,0,1
45372000,inf,0,0,0,0,0,0,0,0,0,1
46372000,inf,0,0,0,0,0,0,0,0,0,1
47372000,inf,0,0,0,0,0,0,0,0,0,1
48372000,inf,0,0,0,0,0,0,0,0,0,1
49372000,inf,0,0,0,0,0,0,0,0,0,1
50372000,inf,0,0,0,0,0,0,0,0,0,1
51372000,inf,0,0,0,0,0,0,0,0,0,1
52372000,inf,0,0,0,0,0,0,0,0,0,1
53372000,inf,0,0,0,0,0,0,0,0,0,1
54372000,inf,0,0,0,0,0,0,0,0,0,1
55372000,inf,0,0,0,0,0,0,0,0,0,1
56372000,inf,0,0,0,0,0,0,0,0,0,1
57372000,inf,0,0,0,0,0,0,0,0,0,1
58372000,inf,0,0,0,0,0,0,0,0,0,1
59372000,inf,0,0,0,0,0,0,0,1,0,1
60372000,inf,0,0,0,0,0,0,0,1,0,1
61372000,inf,0,0,0,0,0,0,0,0,0,1
62372000,inf,0,0,0,0,0,0,0,0,0,1
63372000,inf,0,0,0,0,0,0,0,1,0,1
64372000,inf,0,0,0,0,0,0,0,1,0,1
65372000,inf,0,0,0,0,0,0,0,0,0,1
66372000,inf,0,0,0,0,0,0,0,0,0,1
67372000,inf,0,0,0,0,0,0,0,0,0,1
68372000,inf,0,0,0,0,0,0,0,0,0,1
69372000,inf,0,0,0,0,0,0,0,0,0,1
70372000,inf,0,0,0,0,0,0,0,1,0,1
71372000,inf,0,0,0,0,0,0,0,0,0,1
72372000,inf,0,0,0,0,0,0,0,0,0,1
73372000,inf,0,0,0,0,0,0,0,0,0,1
74372000,inf,0,0,0,0,0,0,0,0,0,1
75372000,inf,0,0,0,0,0,0,0,0,0,1
76372000,inf,0,0,0,0,0,0,0,1,0,1
76392000,inf,0,0,0,0,1,1,0,1,0,1
77392000,inf,0,0,0,0,1,1,0,1,0,1
78392000,inf,0,0,0,0,1,1,0,0,0,1
78952000,inf,0,1,0,0,1,1,1,0,0,1
79312000,inf,0,1,1,0,1,1,1,0,0,1
79652000,inf,0,1,1,1,1,1,1,0,0,1
80652000,inf,0,1,1,1,1,1,1,0,0,1
81652000,inf,0,1,1,1,1,1,1,0,0,1
82652000,inf,0,1,1,1,1,1,1,0,0,1
