timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
216000,0,0.7081855,0.007009328,0.011944115,0.70589703,0.0,0.0,0.0,0.0,0
220000,0,0.7082262,0.0068367315,0.012123905,0.70585483,0.0,0.0,0.0,0.0,0
228000,0,0.7083091,0.0064878846,0.012199387,0.70577365,0.0,0.0,0.0,0.0,0
236000,0,0.70837736,0.0061839605,0.011896932,0.705713,0.0,0.0,0.0,0.0,0
248000,0,0.7084129,0.005829626,0.010870751,0.7056969,0.0,0.0,0.0,0.0,0
256000,0,0.70838094,0.005624635,0.009907937,0.7057448,0.0,0.0,0.0,0.0,0
268000,0,0.70826787,0.0051842486,0.008260072,0.70588285,0.0,0.0,0.0,0.0,0
276000,0,0.7081739,0.0046785297,0.007110461,0.70599324,0.0,0.0,0.0,0.0,0
288000,0,0.7080613,0.0034008345,0.005368752,0.70612884,0.0,0.0,0.0,0.0,0
296000,0,0.7080331,0.0021271387,0.0041863224,0.7061701,0.0,0.0,0.0,0.0,0
304000,0,0.7080499,0.000512923,0.0029411982,0.7061626,0.0,0.0,0.0,0.0,0
316000,0,0.70812005,-0.0022490371,0.0010367829,0.70609415,0.0,0.0,0.0,0.0,0
324000,0,0.7081224,-0.0039864355,0.00010346269,0.7060849,0.0,0.0,0.0,0.0,0
332000,0,0.7080962,-0.005358668,-0.0006649539,0.7061018,0.0,0.0,0.0,0.0,0
348000,0,0.70795864,-0.006951781,-0.0018564983,0.7062237,0.0,0.0,0.0,0.0,0
356000,0,0.7078918,-0.0072404137,-0.0023541334,0.70628625,0.0,0.0,0.0,0.0,0
368000,0,0.7078541,-0.0072221407,-0.0030392325,0.70632166,0.0,0.0,0.0,0.0,0
372000,0,0.70786184,-0.007140584,-0.00323931,0.70631385,0.0,0.0,0.0,0.0,0
388000,0,0.7079813,-0.0066384156,-0.0037507287,0.7061965,0.0,0.0,0.0,0.0,0
392000,0,0.7080249,-0.006480719,-0.0037801154,0.70615405,0.0,0.0,0.0,0.0,0
408000,0,0.7081669,-0.0057514417,-0.0032288474,0.7060207,0.0,0.0,0.0,0.0,0
412000,0,0.7081862,-0.005506958,-0.0029279918,0.7060046,0.0,0.0,0.0,0.0,0
428000,0,0.70815873,-0.0042286827,-0.0009387982,0.7060464,0.0,0.0,0.0,0.0,0
436000,0,0.70809734,-0.0033147403,0.00040539537,0.7061134,0.0,0.0,0.0,0.0,0
448000,0,0.7080305,-0.0018284343,0.0023960697,0.7061818,0.0,0.0,0.0,0.0,0
456000,0,0.7080679,-0.0011521654,0.0033890621,0.7061417,0.0,0.0,0.0,0.0,0
468000,0,0.70820385,-0.00041948856,0.004094247,0.7060024,0.0,0.0,0.0,0.0,0
472000,0,0.70825905,-0.0002535088,0.0041850214,0.7059466,0.0,0.0,0.0,0.0,0
488000,0,0.7084186,0.00023729505,0.0040513957,0.7057873,0.0,0.0,0.0,0.0,0
496000,0,0.70842624,0.00038981743,0.003837474,0.70578074,0.0,0.0,0.0,0.0,0
508000,0,0.70834416,0.00043907567,0.0034584322,0.705865,0.0,0.0,0.0,0.0,0
516000,0,0.70825386,0.00028170887,0.0031602993,0.7059572,0.0,0.0,0.0,0.0,0
524000,0,0.70816493,-8.841238e-05,0.0027833965,0.706048,0.0,0.0,0.0,0.0,0
532000,0,0.70810103,-0.0006825646,0.0022582703,0.70611364,0.0,0.0,0.0,0.0,0
544000,0,0.70805436,-0.0018790427,0.0014362279,0.7061604,0.0,0.0,0.0,0.0,0
556000,0,0.70800114,-0.0028395876,0.0009958814,0.7062113,0.0,0.0,0.0,0.0,0
568000,0,0.7079739,-0.003291195,0.00082395034,0.7062369,0.0,0.0,0.0,0.0,0
576000,0,0.707963,-0.0033358743,0.0008863065,0.70624757,0.0,0.0,0.0,0.0,0
588000,0,0.70796716,-0.0029667215,0.0011798459,0.7062446,0.0,0.0,0.0,0.0,0
592000,0,0.70797366,-0.0027337922,0.0013328975,0.70623875,0.0,0.0,0.0,0.0,0
604000,0,0.7080528,-0.0020810124,0.0016783418,0.70616084,0.0,0.0,0.0,0.0,0
616000,0,0.70820415,-0.0017948775,0.001648298,0.7060099,0.0,0.0,0.0,0.0,0
624000,0,0.7082827,-0.0016851998,0.0015935928,0.70593154,0.0,0.0,0.0,0.0,0
632000,0,0.7083216,-0.0015860209,0.001606169,0.70589274,0.0,0.0,0.0,0.0,0
644000,0,0.708301,-0.0015035153,0.0017201198,0.7059133,0.0,0.0,0.0,0.0,0
656000,0,0.7082311,-0.0016034222,0.0017745061,0.7059831,0.0,0.0,0.0,0.0,0
668000,0,0.70813274,-0.0017937061,0.0018815323,0.70608103,0.0,0.0,0.0,0.0,0
676000,0,0.7080698,-0.0018448511,0.0020068246,0.7061436,0.0,0.0,0.0,0.0,0
684000,0,0.7080259,-0.0018835212,0.0021011832,0.7061873,0.0,0.0,0.0,0.0,0
696000,0,0.70802015,-0.0019121455,0.0021495274,0.7061928,0.0,0.0,0.0,0.0,0
708000,0,0.7080726,-0.0018051914,0.002146959,0.7061405,0.0,0.0,0.0,0.0,0
716000,0,0.7081262,-0.0017370171,0.0020792547,0.7060872,0.0,0.0,0.0,0.0,0
728000,0,0.70820063,-0.0016560167,0.0019289583,0.70601314,0.0,0.0,0.0,0.0,0
736000,0,0.70823115,-0.0016139043,0.0018364082,0.70598286,0.0,0.0,0.0,0.0,0
744000,0,0.70824295,-0.0016271829,0.0017281073,0.70597124,0.0,0.0,0.0,0.0,0
756000,0,0.7082074,-0.0016367915,0.0016234202,0.70600706,0.0,0.0,0.0,0.0,0
768000,0,0.7081467,-0.0017085489,0.0016666821,0.70606774,0.0,0.0,0.0,0.0,0
776000,0,0.7081088,-0.0017755993,0.0017122865,0.70610553,0.0,0.0,0.0,0.0,0
788000,0,0.70806986,-0.0018523552,0.0018340227,0.70614403,0.0,0.0,0.0,0.0,0
792000,0,0.70806414,-0.0018670715,0.0018745736,0.70614964,0.0,0.0,0.0,0.0,0
808000,0,0.70808434,-0.0018878513,0.0019951637,0.70612895,0.0,0.0,0.0,0.0,0
816000,0,0.70811915,-0.001892903,0.0019932739,0.7060941,0.0,0.0,0.0,0.0,0
824000,0,0.7081536,-0.0018878784,0.00196291,0.70605963,0.0,0.0,0.0,0.0,0
836000,0,0.70819104,-0.0018700903,0.0018631555,0.7060224,0.0,0.0,0.0,0.0,0
844000,0,0.70819676,-0.0017885114,0.0017986216,0.706017,0.0,0.0,0.0,0.0,0
856000,0,0.70818186,-0.0017082868,0.0017843796,0.7060322,0.0,0.0,0.0,0.0,0
868000,0,0.708158,-0.0017154469,0.0017307875,0.70605624,0.0,0.0,0.0,0.0,0
872000,0,0.70814955,-0.0017332669,0.0017143289,0.7060647,0.0,0.0,0.0,0.0,0
884000,0,0.70812446,-0.0017877691,0.0017083604,0.70608974,0.0,0.0,0.0,0.0,0
896000,0,0.70810604,-0.0018132944,0.0017728824,0.70610803,0.0,0.0,0.0,0.0,0
908000,0,0.708107,-0.0018319834,0.0018487033,0.70610684,0.0,0.0,0.0,0.0,0
912000,0,0.7081113,-0.001836663,0.0018703309,0.70610243,0.0,0.0,0.0,0.0,0
924000,0,0.70813197,-0.0018059283,0.0018934881,0.7060817,0.0,0.0,0.0,0.0,0
936000,0,0.7081537,-0.0017990187,0.0019318309,0.7060598,0.0,0.0,0.0,0.0,0
944000,0,0.708166,-0.0018081514,0.001910165,0.70604753,0.0,0.0,0.0,0.0,0
956000,0,0.70817554,-0.0018232778,0.0018486584,0.70603806,0.0,0.0,0.0,0.0,0
964000,0,0.70817065,-0.001808947,0.0018291451,0.70604306,0.0,0.0,0.0,0.0,0
972000,0,0.70815873,-0.0017879702,0.00180912,0.70605516,0.0,0.0,0.0,0.0,0
984000,0,0.7081391,-0.0017817145,0.0017688285,0.70607495,0.0,0.0,0.0,0.0,0
992000,0,0.7081284,-0.0017897808,0.0017483416,0.7060857,0.0,0.0,0.0,0.0,0
1008000,0,0.7081148,-0.0017593243,0.0017429269,0.7060994,0.0,0.0,0.0,0.0,0
1012000,0,0.7081151,-0.0017677259,0.0017624722,0.70609903,0.0,0.0,0.0,0.0,0
1024000,0,0.7081237,-0.0017941463,0.0018106594,0.7060903,0.0,0.0,0.0,0.0,0
1036000,0,0.70813835,-0.001820418,0.0018529986,0.7060754,0.0,0.0,0.0,0.0,0
1048000,0,0.70815253,-0.0018424684,0.0018726804,0.706061,0.0,0.0,0.0,0.0,0
1052000,0,0.7081563,-0.0018453504,0.00187518,0.7060573,0.0,0.0,0.0,0.0,0
1068000,0,0.7081594,-0.0018241943,0.0018748323,0.7060542,0.0,0.0,0.0,0.0,0
1076000,0,0.70815563,-0.0018113615,0.0018570032,0.706058,0.0,0.0,0.0,0.0,0
1084000,0,0.70815057,-0.0017905724,0.0018091315,0.7060633,0.0,0.0,0.0,0.0,0
1096000,0,0.70814073,-0.0017875783,0.0017688778,0.7060733,0.0,0.0,0.0,0.0,0
1108000,0,0.70813155,-0.0017959542,0.0017598419,0.70608246,0.0,0.0,0.0,0.0,0
1116000,0,0.7081279,-0.0018036731,0.0017654297,0.7060861,0.0,0.0,0.0,0.0,0
1128000,0,0.7081281,-0.0018179225,0.0017861216,0.70608586,0.0,0.0,0.0,0.0,0
1132000,0,0.70812935,-0.0018222919,0.001795051,0.70608455,0.0,0.0,0.0,0.0,0
1148000,0,0.7081384,-0.0018312267,0.0018329596,0.7060754,0.0,0.0,0.0,0.0,0
1156000,0,0.7081436,-0.0018307086,0.0018469371,0.70607007,0.0,0.0,0.0,0.0,0
1168000,0,0.70814997,-0.001822097,0.0018500497,0.70606375,0.0,0.0,0.0,0.0,0
1176000,0,0.70815295,-0.0018198615,0.001838558,0.70606077,0.0,0.0,0.0,0.0,0
1184000,0,0.7081541,-0.0017931856,0.001794596,0.7060598,0.0,0.0,0.0,0.0,0
1192000,0,0.7081503,-0.0017970026,0.0017992109,0.70606357,0.0,0.0,0.0,0.0,0
1204000,0,0.7081442,-0.001804175,0.0018040453,0.70606965,0.0,0.0,0.0,0.0,0
1216000,0,0.70813835,-0.0018159294,0.0018030894,0.7060755,0.0,0.0,0.0,0.0,0
1224000,0,0.7081356,-0.0018253812,0.0018040916,0.70607823,0.0,0.0,0.0,0.0,0
1232000,0,0.70813423,-0.0018320236,0.0018074043,0.7060796,0.0,0.0,0.0,0.0,0
1248000,0,0.7081353,-0.001832564,0.0018195147,0.70607847,0.0,0.0,0.0,0.0,0
1256000,0,0.70813787,-0.0018300187,0.0018228991,0.7060759,0.0,0.0,0.0,0.0,0
