timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
4480000,4480000,0.7064222,-0.0010106394,0.001968642,0.7077873,0.99998164,-2.0837987e-10,1.8292283e-10,-0.0060628415,2
4484000,4484000,0.706422,-0.00101156,0.0019653605,0.7077875,0.99998164,-2.0837987e-10,1.8292283e-10,-0.0060628415,2
4980000,4980000,0.70882255,-0.001469297,0.0023944564,0.70538133,0.99998164,-2.0837987e-10,1.8292283e-10,-0.0060628415,2
5476000,5476000,0.70849806,-0.0015505669,0.0026361505,0.70570624,0.99998164,-2.0837987e-10,1.8292283e-10,-0.0060628415,2
5980000,5980000,0.70869017,-0.0017617036,0.002869141,0.70551187,0.99998164,-2.0837987e-10,1.8292283e-10,-0.0060628415,2
6480000,6480000,0.70885015,-0.0022130248,0.0029604,0.7053495,0.99998164,-2.0837987e-10,1.8292283e-10,-0.0060628415,2
6980000,6980000,0.70900995,-0.0022226616,0.00320238,0.7051878,0.99998164,-2.0837987e-10,1.8292283e-10,-0.0060628415,2
7480000,7480000,0.70924807,-0.0022231862,0.003393201,0.70494735,0.99998164,-2.0837987e-10,1.8292283e-10,-0.0060628415,2
7976000,7976000,0.709074,-0.002046484,0.003129727,0.70512426,0.99998164,-2.0837987e-10,1.8292283e-10,-0.0060628415,2
8480000,8480000,0.7085518,-0.0014994831,0.00186027,0.7056548,0.99998164,-2.0837987e-10,1.8292283e-10,-0.0060628415,2
8976000,8976000,0.7080498,-0.00089368457,0.0015387634,0.70616037,0.99998164,-2.0837987e-10,1.8292283e-10,-0.0060628415,2
9480000,9480000,0.7074584,-0.000470501,0.0008829621,0.7067543,0.99998164,-2.0837987e-10,1.8292283e-10,-0.0060628415,2
9976000,9976000,0.7069657,-0.00023465566,0.00071317307,0.7072475,0.99998164,-2.0837987e-10,1.8292283e-10,-0.0060628415,2
10476000,10476000,0.70644295,6.340772e-05,0.000497553,0.7077699,0.99998164,-2.0837987e-10,1.8292283e-10,-0.0060628415,2
10980000,10980000,0.7056376,0.00070922356,0.00040301564,0.7085725,0.99998164,-2.0837987e-10,1.8292283e-10,-0.0060628415,2
11476000,11476000,0.70511067,0.00091208913,0.0005037234,0.7090965,0.99998164,-2.0837987e-10,1.8292283e-10,-0.0060628415,2
11976000,11976000,0.70454997,0.000695307,0.00054612884,0.7096539,0.99998164,-2.0837987e-10,1.8292283e-10,-0.0060628415,2
12480000,12480000,0.7040936,0.00092618354,0.0006632002,0.7101064,0.99998164,-2.0837987e-10,1.8292283e-10,-0.0060628415,2
12976000,12976000,0.70387703,0.0009610216,0.00042974052,0.7103212,0.99998164,-2.0837987e-10,1.8292283e-10,-0.0060628415,2
13480000,13480000,0.7035571,0.0009211603,0.00052480196,0.71063805,0.99998164,-2.0837987e-10,1.8292283e-10,-0.0060628415,2
13980000,13980000,0.70318323,0.0010259249,0.00058283645,0.7110078,0.99998164,-2.0837987e-10,1.8292283e-10,-0.0060628415,2
14480000,14480000,0.70324236,0.0011529617,0.0008283853,0.71094877,0.99998164,-2.0837987e-10,1.8292283e-10,-0.0060628415,2
