timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
196000,196000,-0.042636998,0.0020234138,-0.0017269951,0.0,0.0,0.0,0.0,-1.0
200000,200000,-0.05014111,0.002736049,-0.0019059442,0.0,0.0,0.0,0.0,-1.0
248000,248000,0.01876293,0.00034041604,0.00026094145,0.0,0.0,0.0,0.0,-1.0
296000,296000,0.05780776,0.0012774183,0.0005307585,0.0,0.0,0.0,0.0,-1.0
348000,348000,-0.028642403,0.0016460784,0.00043338203,0.0,0.0,0.0,0.0,-1.0
396000,396000,-0.008836198,-0.0003269817,9.833348e-05,0.0,0.0,0.0,0.0,-1.0
448000,448000,0.07393843,-0.0006794961,-0.0010855311,0.0,0.0,0.0,0.0,-1.0
496000,496000,0.02503321,0.0003738911,0.00042543598,0.0,0.0,0.0,0.0,-1.0
548000,548000,-0.0011531006,0.00030820444,0.00096530264,0.0,0.0,0.0,0.0,-1.0
596000,596000,-0.0005415679,-0.0015270292,0.0003443961,0.0,0.0,0.0,0.0,-1.0
644000,644000,-0.0011984793,-0.0024595298,0.00087047555,0.0,0.0,0.0,0.0,-1.0
696000,696000,-0.0004541561,0.00079003285,0.0006773115,0.0,0.0,0.0,0.0,-1.0
748000,748000,0.0006867221,-0.0019795627,0.000632053,0.0,0.0,0.0,0.0,-1.0
796000,796000,-0.0012439518,2.3482185e-05,0.00020464436,0.0,0.0,0.0,0.0,-1.0
848000,848000,-0.00053247047,-0.00026580342,7.654572e-05,0.0,0.0,0.0,0.0,-1.0
892000,892000,0.0014814106,-0.001080235,7.8958394e-05,0.0,0.0,0.0,0.0,-1.0
948000,948000,-0.0014242149,-1.9399726e-05,3.6204314e-05,0.0,0.0,0.0,0.0,-1.0
996000,996000,-0.0024953552,-0.00062708056,5.7312445e-05,0.0,0.0,0.0,0.0,-1.0
1044000,1044000,0.00096155907,0.0005749234,0.00072643784,0.0,0.0,0.0,0.0,-1.0
1096000,1096000,-0.0012440479,0.001910888,-0.0012355483,0.0,0.0,0.0,0.0,-1.0
1148000,1148000,0.00015311709,-0.0016962772,6.687528e-05,0.0,0.0,0.0,0.0,-1.0
1196000,1196000,0.0014702515,-0.003221257,-0.001617294,0.0,0.0,0.0,0.0,-1.0
1248000,1248000,0.0010734757,0.0013811312,-0.0001842905,0.0,0.0,0.0,0.0,-1.0
1296000,1296000,-0.0017082688,-0.0027681785,-0.00091543345,0.0,0.0,0.0,0.0,-1.0
1348000,1348000,-0.0019547543,-0.0002522354,-0.00031662415,0.0,0.0,0.0,0.0,-1.0
1396000,1396000,-0.0017244952,0.00018043733,-0.0002212969,0.0,0.0,0.0,0.0,-1.0
1448000,1448000,0.0006555586,6.1881196e-06,-0.00019814473,0.0,0.0,0.0,0.0,-1.0
1496000,1496000,-0.0002281413,-0.00091132935,-0.00021029718,0.0,0.0,0.0,0.0,-1.0
1548000,1548000,-0.0006991088,-0.00028247107,-0.00017993459,0.0,0.0,0.0,0.0,-1.0
1596000,1596000,-0.0012635693,-0.0019094408,-0.001667728,0.0,0.0,0.0,0.0,-1.0
1648000,1648000,-0.00096780225,0.0002673766,-0.0003988727,0.0,0.0,0.0,0.0,-1.0
1696000,1696000,-0.0008556607,-0.00048758366,0.00027187774,0.0,0.0,0.0,0.0,-1.0
1748000,1748000,-0.00045276585,-0.0003386437,-1.3206601e-05,0.0,0.0,0.0,0.0,-1.0
1796000,1796000,0.0032685746,0.0013540186,2.446936e-05,0.0,0.0,0.0,0.0,-1.0
1844000,1844000,-0.00014720488,0.0009128634,0.00031665128,0.0,0.0,0.0,0.0,-1.0
1896000,1896000,-0.0047417367,0.00014012883,-6.87016e-06,0.0,0.0,0.0,0.0,-1.0
1948000,1948000,-0.0030937805,0.0004304068,-0.00010315882,0.0,0.0,0.0,0.0,-1.0
1996000,1996000,-0.0017541513,-0.00081990816,0.00043561924,0.0,0.0,0.0,0.0,-1.0
2048000,2048000,-0.0023342988,-0.00096738274,0.00093532045,0.0,0.0,0.0,0.0,-1.0
2096000,2096000,-0.0015779189,0.0024255556,-0.00025117001,0.0,0.0,0.0,0.0,-1.0
2148000,2148000,0.0010093338,-0.0009175773,-0.00072966225,0.0,0.0,0.0,0.0,-1.0
2196000,2196000,-0.00015229048,-0.00012622625,-0.00036922048,0.0,0.0,0.0,0.0,-1.0
2248000,2248000,-0.0025323285,0.0030424679,0.00078513334,0.0,0.0,0.0,0.0,-1.0
2292000,2292000,0.0020784412,0.0025157954,0.0013233888,0.0,0.0,0.0,0.0,-1.0
2348000,2348000,0.0014192163,-0.0006945483,-0.000508986,0.0,0.0,0.0,0.0,-1.0
2396000,2396000,-0.0006469154,0.0029986142,-0.00024270825,0.0,0.0,0.0,0.0,-1.0
2448000,2448000,-0.00025336494,0.0018783321,-0.0008991131,0.0,0.0,0.0,0.0,-1.0
2496000,2496000,-0.00036279982,0.00085489167,-3.231948e-05,0.0,0.0,0.0,0.0,-1.0
2548000,2548000,0.0038898806,-0.0006503753,-0.00018801588,0.0,0.0,0.0,0.0,-1.0
2596000,2596000,0.0007373812,-0.00083760615,9.866495e-05,0.0,0.0,0.0,0.0,-1.0
2648000,2648000,0.0024137523,0.0011892561,-0.00073919183,0.0,0.0,0.0,0.0,-1.0
2696000,2696000,0.0013365794,0.00013444353,0.0010222212,0.0,0.0,0.0,0.0,-1.0
2748000,2748000,0.0020514168,-0.0010667752,-0.0005494919,0.0,0.0,0.0,0.0,-1.0
2796000,2796000,-0.0005887869,-0.0010048777,0.00029543604,0.0,0.0,0.0,0.0,-1.0
2848000,2848000,0.0015762821,-0.00086321053,-0.00038537337,0.0,0.0,0.0,0.0,-1.0
2896000,2896000,0.00061948947,-0.0009513529,-0.000114344715,0.0,0.0,0.0,0.0,-1.0
2948000,2948000,0.004000057,-0.00013194139,-0.00020340274,0.0,0.0,0.0,0.0,-1.0
2996000,2996000,0.0015837986,8.943552e-05,0.00067903,0.0,0.0,0.0,0.0,-1.0
3048000,3048000,0.00036861823,0.001320961,5.076024e-05,0.0,0.0,0.0,0.0,-1.0
3096000,3096000,0.002365503,0.00020873711,-0.00041147834,0.0,0.0,0.0,0.0,-1.0
3148000,3148000,0.0014587679,0.00011956076,-0.0006104908,0.0,0.0,0.0,0.0,-1.0
3196000,3196000,0.0014457285,0.00047414456,0.0006010387,0.0,0.0,0.0,0.0,-1.0
3248000,3248000,-5.8720154e-05,-0.00063273223,-0.00010799469,0.0,0.0,0.0,0.0,-1.0
3296000,3296000,0.0014375638,-0.0013178898,-2.3049968e-05,0.0,0.0,0.0,0.0,-1.0
3348000,3348000,9.745001e-05,-0.0006543266,-0.0005239103,0.0,0.0,0.0,0.0,-1.0
3396000,3396000,0.0024085084,-0.0013808633,-0.00077183073,0.0,0.0,0.0,0.0,-1.0
3448000,3448000,0.0014136547,-0.0029731093,-0.0011527071,0.0,0.0,0.0,0.0,-1.0
3496000,3496000,0.0006885712,-0.0031224182,0.00027509988,0.0,0.0,0.0,0.0,-1.0
3548000,3548000,0.00024507302,-0.00072389795,8.313843e-05,0.0,0.0,0.0,0.0,-1.0
3592000,3592000,0.0022864428,-0.0011370499,0.00061256136,0.0,0.0,0.0,0.0,-1.0
3648000,3648000,0.00085026195,-0.0011831231,0.0010854539,0.0,0.0,0.0,0.0,-1.0
3696000,3696000,0.0033890998,-0.0031934301,-7.0878625e-05,0.0,0.0,0.0,0.0,-1.0
3748000,3748000,0.00012639715,-0.0013672934,0.0015779393,0.0,0.0,0.0,0.0,-1.0
3796000,3796000,1.8394899e-06,0.0009888107,-0.0004641371,0.0,0.0,0.0,0.0,-1.0
3848000,3848000,0.0010889146,-0.0014038355,0.0002256858,0.0,0.0,0.0,0.0,-1.0
3896000,3896000,0.0010015167,0.00015953174,-0.000369925,0.0,0.0,0.0,0.0,-1.0
3948000,3948000,-0.00011850533,-0.0011611847,0.0006214241,0.0,0.0,0.0,0.0,-1.0
3996000,3996000,0.0021210616,-0.000975137,-0.0011580413,0.0,0.0,0.0,0.0,-1.0
4048000,4048000,-0.0011270837,-0.00068281876,-0.00077331194,0.0,0.0,0.0,0.0,-1.0
4096000,4096000,-0.00015378873,0.0012101381,0.00095910806,0.0,0.0,0.0,0.0,-1.0
4148000,4148000,0.0017255568,0.0007532312,-0.00079985475,0.0,0.0,0.0,0.0,-1.0
4196000,4196000,0.0001162473,0.0014008419,-0.00040084054,0.0,0.0,0.0,0.0,-1.0
4248000,4248000,0.00095924106,5.6812944e-05,-0.0010422872,0.0,0.0,0.0,0.0,-1.0
4296000,4296000,0.00019651752,-0.0003599575,0.0001313724,0.0,0.0,0.0,0.0,-1.0
4348000,4348000,0.00020580401,-0.0014286424,0.00039145892,0.0,0.0,0.0,0.0,-1.0
4396000,4396000,-0.0007151998,-0.0006343901,0.00046770606,0.0,0.0,0.0,0.0,-1.0
4448000,4448000,0.0021068125,0.0025619722,-0.00029147987,0.0,0.0,0.0,0.0,-1.0
4496000,4496000,5.9482503e-05,-0.0013856945,-7.661789e-05,0.0,0.0,0.0,0.0,-1.0
4548000,4548000,-7.381354e-05,0.0013886384,3.956239e-05,0.0,0.0,0.0,0.0,-1.0
4596000,4596000,-0.0013173083,-0.0003182435,0.00062382844,0.0,0.0,0.0,0.0,-1.0
4648000,4648000,-0.00043329172,-0.00027118847,0.00027051827,0.0,0.0,0.0,0.0,-1.0
4692000,4692000,0.00012474293,-0.0014523722,-0.00078388734,0.0,0.0,0.0,0.0,-1.0
4748000,4748000,-0.0015227024,0.00029725596,0.00015028958,0.0,0.0,0.0,0.0,-1.0
4796000,4796000,-0.00079114217,0.0015672971,0.00028411092,0.0,0.0,0.0,0.0,-1.0
4848000,4848000,0.00031511884,-0.0021682621,-0.0022326298,0.0,0.0,0.0,0.0,-1.0
4896000,4896000,-0.00049347646,0.0008317678,0.00081130443,0.0,0.0,0.0,0.0,-1.0
4948000,4948000,-0.009285156,-0.0043374533,0.0015527784,0.0,0.0,0.0,0.0,-1.0
4996000,4996000,-0.008180432,-0.0039790347,0.00043362586,0.0,0.0,0.0,0.0,-1.0
5048000,5048000,-0.0069819978,-0.0041607856,-0.00049508986,0.0,0.0,0.0,0.0,-1.0
5096000,5096000,-0.008452075,-0.0060509127,-4.4559725e-05,0.0,0.0,0.0,0.0,-1.0
5144000,5144000,-0.009918995,-0.007424465,0.00049223495,0.0,0.0,0.0,0.0,-1.0
5196000,5196000,-0.008381424,-0.005519545,-0.000106563384,0.0,0.0,0.0,0.0,-1.0
5244000,5244000,-0.008491929,-0.006135078,-0.00083120906,0.0,0.0,0.0,0.0,-1.0
5296000,5296000,-0.009324956,-0.0051529687,-0.0008299444,0.0,0.0,0.0,0.0,-1.0
5344000,5344000,-0.010080958,-0.0072687226,0.0010004655,0.0,0.0,0.0,0.0,-1.0
5396000,5396000,-0.008893867,-0.00674211,0.0010074176,0.0,0.0,0.0,0.0,-1.0
5444000,5444000,-0.007937996,-0.0038409536,0.0010264195,0.0,0.0,0.0,0.0,-1.0
5496000,5496000,-0.008485825,-0.0033807105,0.0013581276,0.0,0.0,0.0,0.0,-1.0
5548000,5548000,-0.0074534453,-0.0071271076,-0.00022581127,0.0,0.0,0.0,0.0,-1.0
5596000,5596000,-0.0065846285,-0.004343214,-0.0004885842,0.0,0.0,0.0,0.0,-1.0
5644000,5644000,-0.009933131,-0.0011478304,0.00017930218,0.0,0.0,0.0,0.0,-1.0
5696000,5696000,-0.007601825,-0.0046407343,-0.00019537947,0.0,0.0,0.0,0.0,-1.0
5748000,5748000,-0.009296356,-0.004634195,0.00045733593,0.0,0.0,0.0,0.0,-1.0
5796000,5796000,-0.006862816,-0.005039905,0.0017375425,0.0,0.0,0.0,0.0,-1.0
5848000,5848000,-0.00792506,-0.0052915383,0.00024656783,0.0,0.0,0.0,0.0,-1.0
5896000,5896000,-0.010641162,-0.005841272,-0.00032994788,0.0,0.0,0.0,0.0,-1.0
5948000,5948000,-0.010316937,-0.0054740612,-9.888384e-05,0.0,0.0,0.0,0.0,-1.0
5996000,5996000,-0.00855858,-0.004613862,4.730879e-05,0.0,0.0,0.0,0.0,-1.0
