timestamp,timestamp_sample,vibe[0],vibe[1],vibe[2],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
700000,700000,7.0543322e-09,9.749959e-05,0.0053868615,0.00010736343,0.031486966,0.00021249661,512,0,0.70622146,3.5000029,0.0,nan,nan,1.1754944e-38,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
712000,712000,6.8640365e-09,9.5465555e-05,0.005448953,0.0002465144,0.037274707,0.00024817535,512,0,0.7097526,3.5000114,0.0,nan,nan,1.1754944e-38,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
904000,904000,4.6459396e-09,7.2648894e-05,0.0051008575,0.0011155248,0.006672586,0.0056970017,512,0,0.63064724,1.7505234,0.0,nan,nan,0.0013590971,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1096000,1096000,3.25416e-09,5.6743887e-05,0.004572764,0.0003296641,0.0037005495,0.0046397853,512,0,1.2165679,1.3252575,0.0,nan,nan,0.0018384847,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1300000,1300000,2.3140192e-09,4.7415888e-05,0.0044830805,5.1394683e-05,0.0065684766,0.011526632,512,0,0.98799175,1.1133741,0.0,nan,nan,0.0037567797,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1500000,1500000,1.7449009e-09,4.035854e-05,0.004242597,0.00014353909,0.015547779,0.010860911,512,0,0.86955094,0.9497448,0.0,nan,nan,0.00095670536,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1700000,1700000,1.3683056e-09,3.5596e-05,0.004052496,0.0004765612,0.024482915,0.01972241,512,0,0.7597358,0.87660456,0.0,nan,nan,0.0003528823,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1900000,1900000,1.0773576e-09,3.3066695e-05,0.003799714,0.0013788629,0.032472655,0.028473832,512,0,0.6914138,0.8288616,0.0,nan,nan,0.001142313,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2100000,2100000,9.208986e-10,2.9583845e-05,0.0038395387,0.0034983854,0.04643702,0.03997153,512,0,0.6587622,0.7997408,0.0,nan,nan,0.0012621012,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2300000,2300000,8.748696e-10,2.875e-05,0.0044171517,0.007434886,0.070465095,0.055547547,512,0,0.65085745,0.78490597,0.0,nan,nan,0.005861022,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2500000,2500000,9.195383e-10,3.0110838e-05,0.004050196,0.008868693,0.079650536,0.060009323,512,0,0.65399826,0.78129125,0.0,nan,nan,0.00018719469,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2700000,2700000,7.7219126e-10,2.9367828e-05,0.0044106855,0.007873934,0.06986754,0.053067103,512,0,0.6557341,0.76712203,0.0,nan,nan,0.0017256438,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2900000,2900000,7.2779743e-10,3.03586e-05,0.0042614336,0.0052702436,0.045203395,0.03579533,512,0,0.6497244,0.7776705,0.0,nan,nan,0.0011278089,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3100000,3100000,6.211591e-10,2.9765526e-05,0.0039889505,0.0019854286,0.0121764345,0.012854652,512,0,0.6366534,0.7921512,0.0,nan,nan,0.0020773069,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3300000,3300000,5.666473e-10,2.912152e-05,0.004038058,0.0010053979,0.023589795,0.01595293,512,0,0.61924076,0.8090658,0.0,nan,nan,0.00052314496,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3500000,3500000,6.0234073e-10,2.9066581e-05,0.0046344637,0.002417394,0.04855791,0.03589294,512,0,0.600226,0.82681286,0.0,nan,nan,0.003473811,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3700000,3700000,6.736964e-10,3.1860018e-05,0.0044955793,0.003412159,0.066158324,0.052186165,512,0,0.5815905,0.8209436,0.0,nan,nan,0.0007272463,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3900000,3900000,6.259536e-10,3.0295514e-05,0.004979215,0.0040635266,0.07710852,0.0634959,512,0,0.5638345,0.8361748,0.0,nan,nan,0.0034691074,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4100000,4100000,6.60248e-10,3.0337831e-05,0.004455069,0.0051510767,0.08892407,0.07368,512,0,0.5474485,0.85013235,0.0,nan,nan,0.0042927866,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4300000,4300000,6.038201e-10,2.9869718e-05,0.0043806387,0.005373928,0.09177899,0.07726613,512,0,0.5325571,0.862302,0.0,nan,nan,0.0002233162,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4500000,4500000,6.2179917e-10,3.0013234e-05,0.0041657714,0.005215642,0.08933262,0.076193154,512,0,0.5188477,0.87287223,0.0,nan,nan,0.002832466,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4700000,4700000,5.587621e-10,2.8978759e-05,0.004380257,0.004370273,0.07754448,0.06782142,512,0,0.50633514,0.881598,0.0,nan,nan,0.00036852394,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4900000,4900000,6.1753674e-10,3.0052148e-05,0.004531109,0.0035069555,0.06322031,0.056248732,512,0,0.49460107,0.8615442,0.0,nan,nan,0.0037285893,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
5100000,5100000,6.3419037e-10,3.204476e-05,0.0044481936,0.003112286,0.053304385,0.046906598,512,0,0.48350227,0.8667737,0.0,nan,nan,0.0014669925,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
