timestamp,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,automatic_gain_control,fix_type,jamming_state,vel_ned_valid,satellites_used
996000,1660693203659706,0,473977419,85455939,488035,488035,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,-0.01,3.7735763,0,nan,nan,0,3,0,1,10
1796000,1660693204459706,0,473977419,85455940,488035,488035,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,2.1752038,0,nan,nan,0,3,0,1,10
2996000,1660693205659706,0,473977419,85455940,488035,488035,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,0.0,3.2957053,0,nan,nan,0,3,0,1,10
3796000,1660693206458706,0,473977419,85455940,488035,488035,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,1.2901473,0,nan,nan,0,3,0,1,10
4996000,1660693207659706,0,473977419,85455939,488033,488033,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,-0.01,4.8635345,0,nan,nan,0,3,0,1,10
5796000,1660693208458706,0,473977419,85455940,488035,488035,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,1.3500122,0,nan,nan,0,3,0,1,10
6596000,1660693209259706,0,473977419,85455939,488033,488033,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4.1896625,0,nan,nan,0,3,0,1,10
7800000,1660693210461706,0,473977419,85455940,488035,488035,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.02,2.5420718,0,nan,nan,0,3,0,1,10
9000000,1660693211661706,0,473977419,85455939,488034,488034,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4.087212,0,nan,nan,0,3,0,1,10
9800000,1660693212460706,0,473977419,85455940,488035,488035,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,5.410171,0,nan,nan,0,3,0,1,10
10600000,1660693213260706,0,473977419,85455939,488034,488034,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,4.1053634,0,nan,nan,0,3,0,1,10
11800000,1660693214460706,0,473977419,85455940,488033,488033,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.0,1.4175564,0,nan,nan,0,3,0,1,10
12600000,1660693215260706,0,473977419,85455939,488035,488035,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.834341,0,nan,nan,0,3,0,1,10
13800000,1660693216460706,0,473977419,85455940,488034,488034,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.02,1.0473721,0,nan,nan,0,3,0,1,10
14600000,1660693217260706,0,473977419,85455939,488034,488034,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.0,1.2739158,0,nan,nan,0,3,0,1,10
15800000,1660693218460706,0,473977419,85455940,488034,488034,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.0,2.1439624,0,nan,nan,0,3,0,1,10
17000000,1660693219660706,0,473977419,85455940,488033,488033,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,5.182406,0,nan,nan,0,3,0,1,10
17800000,1660693220460706,0,473977419,85455940,488035,488035,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,0.01,4.5731115,0,nan,nan,0,3,0,1,10
19000000,1660693221660706,0,473977420,85455940,488040,488040,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.06,0.06,-0.01,-0.07,6.100449,0,nan,nan,0,3,0,1,10
19796000,1660693222460706,0,473977431,85455932,488303,488303,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.07,0.049999997,-0.049999997,-0.53,5.4845223,0,nan,nan,0,3,0,1,10
21000000,1660693223660706,0,473977412,85455934,488977,488977,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.29999998,-0.29,0.06,-0.51,2.9178412,0,nan,nan,0,3,0,1,10
21800000,1660693224460706,0,473977393,85455942,489340,489340,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.21,-0.19999999,0.049999997,-0.41,2.866005,0,nan,nan,0,3,0,1,10
22600000,1660693225261706,0,473977384,85455947,489620,489620,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.049999997,-0.04,0.03,-0.26999998,2.4556782,0,nan,nan,0,3,0,1,10
23800000,1660693226460706,0,473977386,85455946,490148,490148,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.08,0.07,-0.02,-0.32,6.006376,0,nan,nan,0,3,0,1,10
25000000,1660693227660706,0,473977398,85455941,490321,490321,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.13,0.13,-0.03,-0.02,6.026971,0,nan,nan,0,3,0,1,10
25800000,1660693228460706,0,473977407,85455938,490332,490332,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.12,0.12,-0.02,0.0,6.1100483,0,nan,nan,0,3,0,1,10
26600000,1660693229261706,0,473977415,85455936,490322,490322,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.08,0.089999996,-0.01,-0.01,6.096784,0,nan,nan,0,3,0,1,10
27800000,1660693230459706,0,473977420,85455959,490412,490412,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.29,0.01,0.29999998,-0.08,1.51896,0,nan,nan,0,3,0,1,10
28800000,1660693231460706,0,473977420,85456000,490494,490494,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.31,0.0,0.31,-0.04,1.5751597,0,nan,nan,0,3,0,1,10
29800000,1660693232462706,0,473977421,85456060,490532,490532,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.42,0.01,0.42,-0.02,1.5301301,0,nan,nan,0,3,0,1,10
30600000,1660693233261706,0,473977422,85456106,490530,490530,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.42,0.0,0.42,0.08,1.5493287,0,nan,nan,0,3,0,1,10
31800000,1660693234461706,0,473977423,85456168,490557,490557,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.32999998,0.0,0.32999998,-0.04,1.548107,0,nan,nan,0,3,0,1,10
32600000,1660693235261706,0,473977423,85456201,490580,490580,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.29999998,0.0,0.29999998,-0.04,1.5781267,0,nan,nan,0,3,0,1,10
