timestamp,main_state_changes,main_state
20000,0,0
524000,0,0
1028000,0,0
1244000,0,0
1520000,0,0
2024000,0,0
2528000,0,0
3032000,0,0
3536000,0,0
4040000,0,0
4544000,0,0
5048000,0,0
5552000,0,0
6056000,0,0
6560000,0,0
6608000,1,4
6644000,1,4
7148000,1,4
7652000,1,4
8156000,1,4
8660000,1,4
9164000,1,4
9608000,2,7
10112000,2,7
10616000,2,7
11120000,2,7
11624000,2,7
12128000,2,7
12632000,2,7
13136000,2,7
13640000,2,7
14144000,2,7
14636000,2,7
15140000,2,7
15644000,2,7
16148000,2,7
16652000,2,7
17156000,2,7
17660000,2,7
18164000,2,7
18668000,2,7
19172000,2,7
19676000,2,7
20180000,2,7
20684000,2,7
21188000,2,7
21692000,2,7
22196000,2,7
22700000,2,7
23204000,2,7
23708000,2,7
24212000,2,7
24716000,2,7
25220000,2,7
25724000,2,7
26228000,2,7
26708000,2,7
26900000,2,7
26972000,2,7
27476000,2,7
27740000,2,7
27800000,2,7
27944000,2,7
27968000,2,7
28004000,2,7
28040000,2,7
28472000,2,7
28544000,2,7
28568000,2,7
28604000,2,7
28676000,2,7
28712000,2,7
29216000,2,7
29240000,2,7
29300000,2,7
29408000,2,7
29468000,2,7
29744000,2,7
29768000,2,7
29900000,2,7
29936000,2,7
29972000,2,7
30044000,2,7
30236000,2,7
30272000,2,7
30308000,2,7
30344000,2,7
30440000,2,7
30476000,2,7
30980000,2,7
31004000,2,7
31040000,2,7
31400000,2,7
31436000,2,7
31640000,2,7
31676000,2,7
31976000,2,7
32012000,2,7
32336000,2,7
32372000,2,7
32876000,2,7
33068000,2,7
33104000,2,7
33140000,2,7
33176000,2,7
33476000,2,7
33512000,2,7
33944000,2,7
33968000,2,7
34004000,2,7
34040000,2,7
34076000,2,7
34100000,2,7
34208000,2,7
34244000,2,7
34268000,2,7
34304000,2,7
34340000,2,7
34376000,2,7
34436000,2,7
34472000,2,7
34976000,2,7
35000000,2,7
35012000,2,7
35240000,2,7
35312000,2,7
35816000,2,7
36068000,2,7
36104000,2,7
36176000,2,7
36272000,2,7
36308000,2,7
36344000,2,7
36848000,2,7
37352000,2,7
37604000,2,7
37640000,2,7
37844000,2,7
37868000,2,7
37940000,2,7
37976000,2,7
38036000,2,7
38072000,2,7
38576000,2,7
38744000,2,7
38768000,2,7
39272000,2,7
39608000,2,7
39644000,2,7
40148000,2,7
40304000,2,7
40340000,2,7
40700000,2,7
40712000,2,7
41216000,2,7
41720000,2,7
42104000,2,7
42176000,2,7
42680000,2,7
42704000,2,7
42740000,2,7
42776000,2,7
42812000,2,7
43316000,2,7
43400000,2,7
43436000,2,7
43904000,2,7
43940000,2,7
44336000,2,7
44372000,2,7
44444000,2,7
44468000,2,7
44540000,2,7
44576000,2,7
44672000,2,7
44708000,2,7
44972000,2,7
45008000,2,7
45512000,2,7
45644000,2,7
45668000,2,7
45968000,2,7
46004000,2,7
46508000,2,7
46544000,2,7
46568000,2,7
46868000,2,7
46904000,2,7
47408000,2,7
47504000,2,7
47540000,2,7
47840000,2,7
47876000,2,7
47912000,2,7
47972000,2,7
48476000,2,7
48536000,2,7
48572000,2,7
48776000,2,7
48836000,2,7
48908000,2,7
48944000,2,7
49100000,2,7
49136000,2,7
49172000,2,7
49208000,2,7
49712000,2,7
50216000,2,7
50240000,2,7
50276000,2,7
50408000,2,7
50444000,2,7
50804000,2,7
50840000,2,7
51344000,2,7
51368000,2,7
51404000,2,7
51476000,2,7
51512000,2,7
51608000,2,7
51644000,2,7
51872000,2,7
51908000,2,7
52136000,2,7
52172000,2,7
52340000,2,7
52376000,2,7
52736000,2,7
52772000,2,7
53276000,2,7
53780000,2,7
53876000,2,7
53912000,2,7
54008000,2,7
54044000,2,7
54548000,2,7
54668000,2,7
54704000,2,7
54776000,2,7
54812000,2,7
54836000,2,7
54872000,2,7
55004000,2,7
55076000,2,7
55580000,2,7
56084000,2,7
56144000,2,7
56168000,2,7
56504000,2,7
56540000,2,7
57008000,2,7
57044000,2,7
57236000,2,7
57308000,2,7
57572000,2,7
57608000,2,7
57968000,2,7
58004000,2,7
58268000,2,7
58304000,2,7
58412000,2,7
58448000,2,7
58604000,2,7
58640000,2,7
58904000,2,7
58940000,2,7
59372000,2,7
59408000,2,7
59912000,2,7
60068000,2,7
60104000,2,7
60476000,2,7
60536000,2,7
61040000,2,7
61136000,2,7
61172000,2,7
61676000,2,7
61736000,2,7
61808000,2,7
61904000,2,7
61940000,2,7
62072000,2,7
62108000,2,7
62168000,2,7
62204000,2,7
62708000,2,7
62744000,2,7
63008000,2,7
63044000,2,7
63368000,2,7
63404000,2,7
63440000,2,7
63476000,2,7
63536000,2,7
63572000,2,7
63872000,2,7
63908000,2,7
63944000,2,7
64004000,2,7
64268000,2,7
64304000,2,7
64808000,2,7
65312000,2,7
65504000,2,7
65540000,2,7
65804000,2,7
65840000,2,7
66344000,2,7
66572000,2,7
66608000,2,7
67112000,2,7
67616000,2,7
67640000,2,7
67676000,2,7
67868000,2,7
67904000,2,7
68000000,2,7
68036000,2,7
68540000,2,7
68636000,2,7
68672000,2,7
69176000,2,7
69680000,2,7
70184000,2,7
70304000,2,7
70340000,2,7
70844000,2,7
70976000,2,7
71000000,2,7
71444000,2,7
71468000,2,7
71972000,2,7
72008000,2,7
72512000,2,7
73016000,2,7
73208000,2,7
73268000,2,7
73772000,2,7
74276000,2,7
74780000,2,7
75284000,2,7
75656000,2,7
76160000,2,7
76664000,2,7
77168000,2,7
77672000,2,7
78176000,2,7
78680000,2,7
79184000,2,7
79688000,2,7
80192000,2,7
80696000,2,7
80924000,2,7
81428000,2,7
