timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3]
208000,1310988,1310988,1310996,1311004,0,0.16545677,0.10286709,0.20084992,0.0,1310988,1310988,1310996,1311004,0,0.0064852796,0.0057801707,0.012221642,0.0,1,1,1,0,1,1,1,0
396000,1310988,1310988,1310996,1311004,0,0.07907889,0.025021285,0.10344255,0.0,1310988,1310988,1310996,1311004,0,0.0071253367,0.0019055837,0.008972783,0.0,1,1,1,0,1,1,1,0
596000,1310988,1310988,1310996,1311004,0,0.02286074,0.007433118,0.025176844,0.0,1310988,1310988,1310996,1311004,0,0.0053008418,0.0011167882,0.0064011654,0.0,1,1,1,0,1,1,1,0
796000,1310988,1310988,1310996,1311004,0,0.02050983,0.004746039,0.024773737,0.0,1310988,1310988,1310996,1311004,0,0.0005364542,0.00013139592,0.0006136236,0.0,1,1,1,0,1,1,1,0
996000,1310988,1310988,1310996,1311004,0,0.010379126,0.007276505,0.017312532,0.0,1310988,1310988,1310996,1311004,0,0.0003934212,0.00014161122,0.0005272006,0.0,1,1,1,0,1,1,1,0
1196000,1310988,1310988,1310996,1311004,0,0.0067487736,0.0069786664,0.012324899,0.0,1310988,1310988,1310996,1311004,0,0.00069352286,0.000443807,0.0008364373,0.0,1,1,1,0,1,1,1,0
1396000,1310988,1310988,1310996,1311004,0,0.0055970773,0.013324303,0.008156077,0.0,1310988,1310988,1310996,1311004,0,0.000113172755,0.00028739058,0.00021201736,0.0,1,1,1,0,1,1,1,0
1596000,1310988,1310988,1310996,1311004,0,0.0038163739,0.007227165,0.009896611,0.0,1310988,1310988,1310996,1311004,0,0.0006168542,0.00029175467,0.0008252043,0.0,1,1,1,0,1,1,1,0
1796000,1310988,1310988,1310996,1311004,0,0.01105601,0.060696624,0.0708296,0.0,1310988,1310988,1310996,1311004,0,0.0005281958,0.00040894316,0.0008398537,0.0,1,1,1,0,1,1,1,0
2000000,1310988,1310988,1310996,1311004,0,0.0053722984,0.004805571,0.004508387,0.0,1310988,1310988,1310996,1311004,0,0.00015683434,0.0005725479,0.0006829115,0.0,1,1,1,0,1,1,1,0
2196000,1310988,1310988,1310996,1311004,0,0.011650612,0.010726485,0.02115568,0.0,1310988,1310988,1310996,1311004,0,0.00038154906,0.00036228087,0.0006442379,0.0,1,1,1,0,1,1,1,0
2400000,1310988,1310988,1310996,1311004,0,0.017908996,0.010157948,0.013788797,0.0,1310988,1310988,1310996,1311004,0,0.0004651385,0.00041411014,0.0006621634,0.0,1,1,1,0,1,1,1,0
2596000,1310988,1310988,1310996,1311004,0,0.008815328,0.004977061,0.006345127,0.0,1310988,1310988,1310996,1311004,0,0.00023696192,0.0006007239,0.0005126999,0.0,1,1,1,0,1,1,1,0
2796000,1310988,1310988,1310996,1311004,0,0.008764065,0.0075895744,0.008139596,0.0,1310988,1310988,1310996,1311004,0,0.0004818567,0.00064437184,0.00032488356,0.0,1,1,1,0,1,1,1,0
2996000,1310988,1310988,1310996,1311004,0,0.0013153942,0.003289073,0.0023251695,0.0,1310988,1310988,1310996,1311004,0,0.0003364034,0.0002772969,0.0002977482,0.0,1,1,1,0,1,1,1,0
3200000,1310988,1310988,1310996,1311004,0,0.0072484496,0.0020561414,0.005910787,0.0,1310988,1310988,1310996,1311004,0,0.00035567055,0.0006753405,0.0006685343,0.0,1,1,1,0,1,1,1,0
3396000,1310988,1310988,1310996,1311004,0,0.013529982,0.0057145115,0.018783484,0.0,1310988,1310988,1310996,1311004,0,0.00033003514,0.00022236767,0.000518685,0.0,1,1,1,0,1,1,1,0
3596000,1310988,1310988,1310996,1311004,0,0.0054024966,0.0027872026,0.007535272,0.0,1310988,1310988,1310996,1311004,0,0.00042742302,0.00035495576,0.00023568068,0.0,1,1,1,0,1,1,1,0
3796000,1310988,1310988,1310996,1311004,0,0.01009432,0.0022159587,0.011650061,0.0,1310988,1310988,1310996,1311004,0,0.00018255464,0.0004349844,0.0005790187,0.0,1,1,1,0,1,1,1,0
4000000,1310988,1310988,1310996,1311004,0,0.004318019,0.005770879,0.006008565,0.0,1310988,1310988,1310996,1311004,0,0.0003423241,0.00032499927,0.00018230516,0.0,1,1,1,0,1,1,1,0
4196000,1310988,1310988,1310996,1311004,0,0.0022693921,0.0026596636,0.0047039906,0.0,1310988,1310988,1310996,1311004,0,8.553426e-05,0.00026595301,0.0001911612,0.0,1,1,1,0,1,1,1,0
4400000,1310988,1310988,1310996,1311004,0,0.008351358,0.0033096527,0.0114160245,0.0,1310988,1310988,1310996,1311004,0,0.00024295301,0.000119769364,0.00029760553,0.0,1,1,1,0,1,1,1,0
