timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
7156000,7156000,0.7037776,-0.00126151,0.002632107,0.71041447,0.70329654,-4.196104e-11,4.7897457e-11,0.71089673,1
7160000,7160000,0.70377517,-0.0012432158,0.002616457,0.710417,0.70329654,-4.196104e-11,4.7897457e-11,0.71089673,1
7204000,7204000,0.7085777,-0.001275572,0.0026426935,0.70562685,0.9999772,1.3001096e-10,-1.9416992e-10,-0.0067712576,2
7252000,7252000,0.70861113,-0.00127294,0.002607631,0.70559335,0.9999772,1.3001096e-10,-1.9416992e-10,-0.0067712576,2
7304000,7304000,0.7088391,-0.0013730505,0.002625608,0.705364,0.9999772,1.3001096e-10,-1.9416992e-10,-0.0067712576,2
7356000,7356000,0.7089495,-0.0012263239,0.00258402,0.70525354,0.9999772,1.3001096e-10,-1.9416992e-10,-0.0067712576,2
7404000,7404000,0.708989,-0.0012447673,0.002659918,0.7052135,0.9999772,1.3001096e-10,-1.9416992e-10,-0.0067712576,2
7456000,7456000,0.7088086,-0.0012261929,0.002583167,0.7053951,0.9999772,1.3001096e-10,-1.9416992e-10,-0.0067712576,2
7508000,7508000,0.7084135,-0.0013090436,0.0025932207,0.7057917,0.9999772,1.3001096e-10,-1.9416992e-10,-0.0067712576,2
7556000,7556000,0.7081204,-0.0013288222,0.00259359,0.70608574,0.9999772,1.3001096e-10,-1.9416992e-10,-0.0067712576,2
7604000,7604000,0.70779705,-0.001441145,0.0026219469,0.7064095,0.9999772,1.3001096e-10,-1.9416992e-10,-0.0067712576,2
7652000,7652000,0.7076091,-0.001369834,0.002588133,0.70659816,0.9999772,1.3001096e-10,-1.9416992e-10,-0.0067712576,2
7704000,7704000,0.7074581,-0.0013399437,0.0025999555,0.7067494,0.9999772,1.3001096e-10,-1.9416992e-10,-0.0067712576,2
7752000,7752000,0.70734876,-0.0012379754,0.0024699022,0.70685935,0.9999772,1.3001096e-10,-1.9416992e-10,-0.0067712576,2
7804000,7804000,0.7073399,-0.0011915972,0.002388653,0.70686865,0.9999772,1.3001096e-10,-1.9416992e-10,-0.0067712576,2
7856000,7856000,0.70730335,-0.0011897822,0.0024416088,0.706905,0.9999772,1.3001096e-10,-1.9416992e-10,-0.0067712576,2
7904000,7904000,0.7072996,-0.0012016303,0.0024445986,0.7069087,0.9999772,1.3001096e-10,-1.9416992e-10,-0.0067712576,2
7952000,7952000,0.70726067,-0.001213555,0.0024408326,0.7069477,0.9999772,1.3001096e-10,-1.9416992e-10,-0.0067712576,2
8004000,8004000,0.7072897,-0.0011698221,0.002410109,0.70691884,0.9999772,1.3001096e-10,-1.9416992e-10,-0.0067712576,2
8052000,8052000,0.70726854,-0.0011349524,0.0024068197,0.70694,0.9999772,1.3001096e-10,-1.9416992e-10,-0.0067712576,2
8104000,8104000,0.7071743,-0.001126921,0.0022899657,0.7070347,0.9999772,1.3001096e-10,-1.9416992e-10,-0.0067712576,2
8152000,8152000,0.70704,-0.0011901841,0.0022494143,0.70716906,0.9999772,1.3001096e-10,-1.9416992e-10,-0.0067712576,2
8208000,8208000,0.70696944,-0.0010826669,0.0021159924,0.70724016,0.9999772,1.3001096e-10,-1.9416992e-10,-0.0067712576,2
8252000,8252000,0.7069476,-0.0011213195,0.002183907,0.70726174,0.9999772,1.3001096e-10,-1.9416992e-10,-0.0067712576,2
8304000,8304000,0.7068859,-0.0010475568,0.002103343,0.7073238,0.9999772,1.3001096e-10,-1.9416992e-10,-0.0067712576,2
8356000,8356000,0.7067813,-0.0010787374,0.0021460305,0.70742804,0.9999772,1.3001096e-10,-1.9416992e-10,-0.0067712576,2
8408000,8408000,0.70669836,-0.001211042,0.0021163246,0.7075108,0.9999772,1.3001096e-10,-1.9416992e-10,-0.0067712576,2
8452000,8452000,0.70665765,-0.0012760842,0.0022058154,0.7075511,0.9999772,1.3001096e-10,-1.9416992e-10,-0.0067712576,2
8504000,8504000,0.70661354,-0.0013805884,0.0022704436,0.70759475,0.9999772,1.3001096e-10,-1.9416992e-10,-0.0067712576,2
8552000,8552000,0.7066155,-0.0014178734,0.0022575886,0.7075927,0.9999772,1.3001096e-10,-1.9416992e-10,-0.0067712576,2
8604000,8604000,0.70662755,-0.0014379402,0.0022914456,0.7075806,0.9999772,1.3001096e-10,-1.9416992e-10,-0.0067712576,2
8652000,8652000,0.7065892,-0.0014033504,0.00233954,0.7076187,0.9999772,1.3001096e-10,-1.9416992e-10,-0.0067712576,2
8704000,8704000,0.706534,-0.0013680656,0.002370712,0.70767385,0.9999772,1.3001096e-10,-1.9416992e-10,-0.0067712576,2
8752000,8752000,0.7064786,-0.0013997632,0.002423043,0.7077289,0.9999772,1.3001096e-10,-1.9416992e-10,-0.0067712576,2
8804000,8804000,0.7064829,-0.0014483088,0.0024673122,0.70772445,0.9999772,1.3001096e-10,-1.9416992e-10,-0.0067712576,2
