timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,jamming_state,vel_ned_valid,satellites_used,selected
396000,1660692071604340,473977419,85455939,488042,488042,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.06,4.6134286,0,nan,nan,3,0,1,10,0
796000,1660692072004340,473977419,85455939,488042,488042,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,1.5004596,0,nan,nan,3,0,1,10,0
1196000,1660692072404340,473977419,85455939,488042,488042,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.9293606,0,nan,nan,3,0,1,10,0
1596000,1660692072805340,473977419,85455939,488042,488042,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,2.382898,0,nan,nan,3,0,1,10,0
1996000,1660692073205340,473977419,85455939,488042,488042,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.01,1.5526448,0,nan,nan,3,0,1,10,0
2396000,1660692073604340,473977419,85455939,488042,488042,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.02,2.3460715,0,nan,nan,3,0,1,10,0
2796000,1660692074005340,473977419,85455939,488041,488041,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,5.3677597,0,nan,nan,3,0,1,10,0
3196000,1660692074404340,473977419,85455939,488042,488042,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.2851593,0,nan,nan,3,0,1,10,0
3596000,1660692074804340,473977419,85455939,488043,488043,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.4008749,0,nan,nan,3,0,1,10,0
3996000,1660692075205340,473977419,85455939,488042,488042,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,1.248085,0,nan,nan,3,0,1,10,0
4396000,1660692075604340,473977419,85455939,488042,488042,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,0.0,3.2696998,0,nan,nan,3,0,1,10,0
4796000,1660692076004340,473977419,85455939,488043,488043,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,-0.01,3.1644564,0,nan,nan,3,0,1,10,0
5196000,1660692076405340,473977419,85455939,488042,488042,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.7168803,0,nan,nan,3,0,1,10,0
5596000,1660692076805340,473977419,85455939,488042,488042,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,3.849498,0,nan,nan,3,0,1,10,0
5996000,1660692077205340,473977419,85455939,488043,488043,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.02,1.0121164,0,nan,nan,3,0,1,10,0
6396000,1660692077604340,473977419,85455939,488043,488043,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,-0.02,6.280916,0,nan,nan,3,0,1,10,0
6796000,1660692078004340,473977419,85455939,488043,488043,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,5.1836276,0,nan,nan,3,0,1,10,0
7196000,1660692078405340,473977419,85455939,488042,488042,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,0.0,5.0583134,0,nan,nan,3,0,1,10,0
7596000,1660692078805340,473977419,85455939,488042,488042,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.02,4.701393,0,nan,nan,3,0,1,10,0
